ags,year,election_date,state,state_name,eligible_voters,number_voters,valid_votes,invalid_votes,turnout,cdu,csu,spd,gruene,fdp,linke_pds,afd,npd,rep,die_rechte,dvu,iii_weg,bf_b,ddd,dg,dns,drp,dsu,dkp,kpd,mlpd,sgp,spad,bsa,bwk,x50plus,ab_2000,ad_demokraten,adf,adm,agfg,apd,appd,aufbruch,b,bge,big,bp,buendnis_c,buendnis21,buergerbewegung,bueso,cbv,chance_2000,cm,deutschland,di_b,die_basis,die_humanisten,die_partei,dm,dp,dpd,du,eap,familie,forum,frauen,freie_waehler,fwd,gartenpartei,gb_bhe,gdp,gesundheitsforschung,graue,gvp,hp,liebe,liga,lkr,menschliche_welt,mg,muendige,naturgesetz,nichtwaehler,oedp,offensive_d,oko_union,partei_der_vernunft,pass,patrioten,pbc,pd_f,pdv,piraten,prg,pro_deutschland,pro_dm,rentner,rrp,schill,ssw,statt_partei,team_todenhoefer,tierschutz,tierschutzallianz,unabhaengige,usd,v_partei3,vaa,violetten,volksabstimmung,volt,bsw,mera25,werteunion,verjuengungsforschung,pd_h,buendnis_deutschland,zentrum,cdu_csu,far_right,far_left,far_left_w_linke,flag_briefwahl_agg
01011,1953,1953-09-06,01,Schleswig-Holstein,43063,37782,36673,1109,0.87736571999164,0.502117410407072,0,0.236514742469959,,0.0355195595786353,,,,,,,,,,,0.000529352601768038,0.00539939653803399,,,0.0070139219734265,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0666719601926844,,,,,,,,,,0.111852204753586,,,,0.00397014451326028,,,,,,,,,,,,,,,,,,,,,,,,,,0.00105870520353608,,,,,,,,,,,,,,,,,,0,0.502117410407072,0.00592874913980202,0.0070139219734265,0.0070139219734265,0
01012,1953,1953-09-06,01,Schleswig-Holstein,54891,49007,47248,1759,0.892805742289264,0.423306874528129,0,0.287244679331524,,0.0445242516375212,,,,,,,,,,,0.00371375517783174,0.015242720427694,,,0.00857020425653478,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0380965984451201,,,,,,,,,,0.137000836615177,,,,0.00430550737649724,,,,,,,,,,,,,,,,,,,,,,,,,,0.00210174056767401,,,,,,,,,,,,,,,,,,0,0.423306874528129,0.0189564756055257,0.00857020425653478,0.00857020425653478,0
01013,1953,1953-09-06,01,Schleswig-Holstein,125630,111264,107604,3660,0.88564833240468,0.372088006902502,0,0.324444564279551,,0.0644323410986483,,,,,,,,,,,0.00238172274949669,0.00719010641357492,,,0.0207704199022146,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0557502876042566,,,,,,,,,,0.112713905665804,,,,0.00643514524014956,,,,,,,,,,,,,,,,,,,,,,,,,,0.000898763301696865,,,,,,,,,,,,,,,,,,0,0.372088006902502,0.00957182916307161,0.0207704199022146,0.0207704199022146,0
01014,1953,1953-09-06,01,Schleswig-Holstein,72569,65670,64172,1498,0.904931857955876,0.526237246840262,0,0.285153037916857,,0.0199329983249581,,,,,,,,,,,0.000654789097000152,0.00659357393025735,,,0.00877112836911832,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0217907720420283,,,,,,,,,,0.104202832343536,,,,0.00301507537688442,,,,,,,,,,,,,,,,,,,,,,,,,,0.000837520938023451,,,,,,,,,,,,,,,,,,0,0.526237246840262,0.0072483630272575,0.00877112836911832,0.00877112836911832,0
01015,1953,1953-09-06,01,Schleswig-Holstein,106374,94920,92088,2832,0.89232331208754,0.506668773704172,0,0.213822166034555,,0.0405077960387695,,,,,,,,,,,0.00110619469026549,0.0094605983986515,,,0.0100294985250737,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0397492625368732,,,,,,,,,,0.127697008006743,,,,0.00375052675937632,,,,,,,,,,,,,,,,,,,,,,,,,,0.0173725242309313,,,,,,,,,,,,,,,,,,0,0.506668773704172,0.010566793088917,0.0100294985250737,0.0100294985250737,0
01016,1953,1953-09-06,01,Schleswig-Holstein,69598,61160,59458,1702,0.878760883933446,0.481049705689993,0,0.136134728580772,,0.049166121648136,,,,,,,,,,,0.000572269457161544,0.00595160235448005,,,0.00456180510137345,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.031294964028777,,,,,,,,,,0.148201438848921,,,,0.00230542838456508,,,,,,,,,,,,,,,,,,,,,,,,,,0.112933289731851,,,,,,,,,,,,,,,,,,0,0.481049705689993,0.0065238718116416,0.00456180510137345,0.00456180510137345,0
01017,1953,1953-09-06,01,Schleswig-Holstein,63692,56601,54734,1867,0.888667336557182,0.487305877988021,0,0.196180279500362,,0.0577728308687126,,,,,,,,,,,0.000883376618787654,0.0168901609512199,,,0.00690800515891945,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.027048992067278,,,,,,,,,,0.169837988728114,,,,0.00303881556862953,,,,,,,,,,,,,,,,,,,,,,,,,,0.00114838960442395,,,,,,,,,,,,,,,,,,0,0.487305877988021,0.0177735375700076,0.00690800515891945,0.00690800515891945,0
01018,1953,1953-09-06,01,Schleswig-Holstein,88850,78318,75692,2626,0.881463140123804,0.357708317372762,0,0.307860262008734,,0.0942312112158125,,,,,,,,,,,0.000165989938456038,0.00561812099389668,,,0.0138793125462857,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.071605505758574,,,,,,,,,,0.108940473454378,,,,0.00577134247554841,,,,,,,,,,,,,,,,,,,,,,,,,,0.000689496667432774,,,,,,,,,,,,,,,,,,0,0.357708317372762,0.00578411093235272,0.0138793125462857,0.0138793125462857,0
01019,1953,1953-09-06,01,Schleswig-Holstein,90172,80800,78126,2674,0.896065297431575,0.422487623762376,0,0.27325495049505,,0.067970297029703,,,,,,,,,,,0.0049009900990099,0.0107920792079208,,,0.0142821782178218,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0229331683168317,,,,,,,,,,0.143428217821782,,,,0.00602722772277228,,,,,,,,,,,,,,,,,,,,,,,,,,0.000829207920792079,,,,,,,,,,,,,,,,,,0,0.422487623762376,0.0156930693069307,0.0142821782178218,0.0142821782178218,0
01020,1953,1953-09-06,01,Schleswig-Holstein,53661,46633,45162,1471,0.869029649093383,0.467394334484164,0,0.266935431990222,,0.0438959535093174,,,,,,,,,,,0.000407436793686874,0.00531812235970236,,,0.00645465657367101,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0.0657259880342247,,,,,,,,,,0.108699847747303,,,,0.00287350159758111,,,,,,,,,,,,,,,,,,,,,,,,,,0.000750541462054768,,,,,,,,,,,,,,,,,,0,0.467394334484164,0.00572555915338923,0.00645465657367101,0.00645465657367101,0
