Endergebnis der Landtagswahl vom 22. März 2026 (Stimmbezirksebene);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Identifikationsschlüssel;"Stimm
bezirk-Id";"Stimmbezirks-
kennzeichen";Bezeichnung;"GUW 
(Gesamt, Urnenwahl,
Wahlschein/Briefwahl)";"Stimmbezirk für repr.
Wahlstatistik";A;A1;A2;A3;B;B1;Wahlbeteiligung;"ungültige 
Wahlkreisstimmen";"ungültige 
Wahlkreisstimmen Prozent";"gültige 
Wahlkreis-
stimmen";"gültige Wahlkreis-
stimmen 
Prozent";SPD;SPD Prozent;CDU;CDU Prozent;GRÜNE;GRÜNE Prozent;AfD;AfD Prozent;FDP;FDP Prozent;FREIE WÄHLER;FREIE WÄHLER Prozent;Die Linke;Die Linke Prozent;Tierschutzpartei;Tierschutzpartei Prozent;Volt;Volt Prozent;ÖDP;ÖDP Prozent;BSW;BSW Prozent;PdH;PdH Prozent;Bastian Ruhl;Bastian Ruhl Prozent;Team Todenhöfer;Team Todenhöfer Prozent;Yunus Emre;Yunus Emre Prozent;Die PARTEI;Die PARTEI Prozent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ungültige Landesstimmen;ungültige Landesstimmen Prozent;gültige Landesstimmen;gültige Landesstimmen Prozent;SPD;SPD Prozent;CDU;CDU Prozent;GRÜNE;GRÜNE Prozent;AfD;AfD Prozent;FDP;FDP Prozent;FREIE WÄHLER;FREIE WÄHLER Prozent;Die Linke;Die Linke Prozent;Tierschutzpartei;Tierschutzpartei Prozent;Volt;Volt Prozent;ÖDP;ÖDP Prozent;BSW;BSW Prozent;PdH;PdH Prozent;Bastian Ruhl;Bastian Ruhl Prozent;Team Todenhöfer;Team Todenhöfer Prozent;Yunus Emre;Yunus Emre Prozent;Die PARTEI;Die PARTEI Prozent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Berechnung Wahlbeteiligung;Zusammenlegung Abgabe Identifikationsschlüssel;Zusammenlegung Grund;Zusammenlegung Aufnahme
2110000000;0;KS;Trier, Kreisfreie Stadt;G;0;75911;50644;25266;1;48179;23230;63,5;417;0,9;47762;99,1;14761;30,9;13412;28,1;5924;12,4;5898;12,3;664;1,4;1689;3,5;4091;8,6;;;;;447;0,9;765;1,6;;;;;111;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;303;0,6;47876;99,4;12861;26,9;13311;27,8;6086;12,7;6066;12,7;815;1,7;1321;2,8;4616;9,6;700;1,5;762;1,6;284;0,6;1001;2,1;53;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2310000000;0;LK;Bernkastel-Wittlich, Landkreis;G;0;83277;52651;30626;0;59398;28804;71,3;847;1,4;58551;98,6;12297;21;25043;42,8;3138;5,4;9640;16,5;1919;3,3;3574;6,1;1807;3,1;;;;;1133;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;583;1;58815;99;12538;21,3;22638;38,5;3514;6;9953;16,9;1481;2,5;3872;6,6;2067;3,5;936;1,6;388;0,7;395;0,7;994;1,7;39;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
2350000000;0;LK;Trier-Saarburg, Landkreis;G;0;109992;66604;43387;1;79180;40776;72;913;1,2;78267;98,8;19950;25,5;30548;39;5357;6,8;11202;14,3;2217;2,8;5268;6,7;2530;3,2;;;;;352;0,4;843;1,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;781;1;78399;99;19843;25,3;28529;36,4;5127;6,5;11983;15,3;1506;1,9;4579;5,8;2789;3,6;1193;1,5;747;1;442;0,6;1592;2;69;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
3120000000;0;KS;Kaiserslautern, Kreisfreie Stadt;G;0;66174;48416;17757;1;41489;16546;62,7;447;1,1;41042;98,9;10956;26,7;9336;22,7;3905;9,5;10216;24,9;705;1,7;3268;8;2368;5,8;;;;;;;288;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;327;0,8;41162;99,2;10495;25,5;9092;22,1;3772;9,2;10293;25;683;1,7;1900;4,6;2547;6,2;697;1,7;441;1,1;116;0,3;1075;2,6;51;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
3140000000;0;KS;Ludwigshafen am Rhein, Kreisfreie Stadt;G;0;96406;73200;23206;0;51102;22294;53;561;1,1;50541;98,9;14001;27,7;14955;29,6;3277;6,5;12542;24,8;823;1,6;490;1;2330;4,6;;;965;1,9;;;1158;2,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;502;1;50600;99;14288;28,2;12622;24,9;3565;7;12562;24,8;866;1,7;1160;2,3;2660;5,3;835;1,7;681;1,3;126;0,2;1182;2,3;53;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
3150000000;0;KS;Mainz, Kreisfreie Stadt;G;0;148778;92818;55960;0;105920;54226;71,2;693;0,7;105227;99,3;29936;28,4;25149;23,9;23869;22,7;7855;7,5;2391;2,3;1842;1,8;9540;9,1;;;1519;1,4;1591;1,5;1161;1,1;;;;;;;374;0,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;497;0,5;105423;99,5;31030;29,4;25298;24;19535;18,5;8232;7,8;2440;2,3;1580;1,5;11532;10,9;982;0,9;2159;2;883;0,8;1613;1,5;139;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
3310000000;0;LK;Alzey-Worms, Landkreis;G;0;97518;62491;35027;0;70815;32992;72,6;726;1;70089;99;20967;29,9;17957;25,6;5204;7,4;15577;22,2;2321;3,3;3604;5,1;2176;3,1;;;885;1,3;368;0,5;1030;1,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;622;0,9;70193;99,1;19524;27,8;18258;26;5183;7,4;16147;23;1790;2,6;2849;4,1;2569;3,7;1166;1,7;911;1,3;369;0,5;1353;1,9;74;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
3320000000;0;LK;Bad Dürkheim, Landkreis;G;0;102713;61600;41113;0;75755;38928;73,8;956;1,3;74799;98,7;21088;28,2;25147;33,6;5131;6,9;15276;20,4;2275;3;1297;1,7;2498;3,3;;;1827;2,4;;;260;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;637;0,8;75118;99,2;20733;27,6;22384;29,8;5767;7,7;15231;20,3;1797;2,4;2902;3,9;2420;3,2;1244;1,7;1090;1,5;238;0,3;1249;1,7;63;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
3340000000;0;LK;Germersheim, Landkreis;G;0;92810;57441;35368;1;64813;33377;69,8;671;1;64142;99;17168;26,8;20374;31,8;3715;5,8;14932;23,3;1138;1,8;3902;6,1;1675;2,6;;;;;;;1238;1,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;0,9;64253;99,1;17146;26,7;18047;28,1;4079;6,3;15726;24,5;1215;1,9;2743;4,3;1969;3,1;1041;1,6;523;0,8;268;0,4;1454;2,3;42;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
3350000000;0;LK;Kaiserslautern, Landkreis;G;0;78084;51145;26939;0;54632;25615;70;605;1,1;54027;98,9;14393;26,6;17100;31,7;1236;2,3;13352;24,7;728;1,3;4254;7,9;1764;3,3;;;;;;;1200;2,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;472;0,9;54160;99,1;13882;25,6;15182;28;2805;5,2;14183;26,2;792;1,5;2962;5,5;1659;3,1;911;1,7;372;0,7;156;0,3;1217;2,2;39;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
