ags,year,age_band,sex,count
10041,2023,70 bis unter 75 Jahre,m,9026
10041,2023,70 bis unter 75 Jahre,f,10432
10041,2023,50 bis unter 55 Jahre,m,10026
10041,2023,50 bis unter 55 Jahre,f,10170
10041,2023,30 bis unter 35 Jahre,m,12166
10041,2023,30 bis unter 35 Jahre,f,10957
10041,2023,45 bis unter 50 Jahre,m,8759
10041,2023,45 bis unter 50 Jahre,f,8873
10041,2023,15 bis unter 20 Jahre,f,7066
10041,2023,15 bis unter 20 Jahre,m,7762
10041,2023,90 bis unter 95 Jahre,f,2038
10041,2023,90 bis unter 95 Jahre,m,868
10041,2023,55 bis unter 60 Jahre,f,13244
10041,2023,55 bis unter 60 Jahre,m,12795
10041,2023,85 bis unter 90 Jahre,m,2942
10041,2023,85 bis unter 90 Jahre,f,5360
10041,2023,75 bis unter 80 Jahre,f,7051
10041,2023,75 bis unter 80 Jahre,m,5675
10041,2023,20 bis unter 25 Jahre,f,9068
10041,2023,20 bis unter 25 Jahre,m,9427
10041,2023,unter 5 Jahre,f,7016
10041,2023,unter 5 Jahre,m,7380
10041,2023,65 bis unter 70 Jahre,f,11609
10041,2023,65 bis unter 70 Jahre,m,10791
10041,2023,10 bis unter 15 Jahre,m,7311
10041,2023,10 bis unter 15 Jahre,f,6831
10041,2023,60 bis unter 65 Jahre,m,12743
10041,2023,60 bis unter 65 Jahre,f,13288
10041,2023,80 bis unter 85 Jahre,m,5046
10041,2023,80 bis unter 85 Jahre,f,7203
10041,2023,5 bis unter 10 Jahre,f,7194
10041,2023,5 bis unter 10 Jahre,m,7661
10041,2023,35 bis unter 40 Jahre,m,11222
10041,2023,35 bis unter 40 Jahre,f,10443
10041,2023,95 Jahre und mehr,f,610
10041,2023,95 Jahre und mehr,m,173
10041,2023,40 bis unter 45 Jahre,f,9795
10041,2023,40 bis unter 45 Jahre,m,10184
10041,2023,25 bis unter 30 Jahre,m,11681
10041,2023,25 bis unter 30 Jahre,f,10530
10042,2023,5 bis unter 10 Jahre,f,2224
10042,2023,5 bis unter 10 Jahre,m,2555
10042,2023,80 bis unter 85 Jahre,m,1572
10042,2023,80 bis unter 85 Jahre,f,2447
10042,2023,60 bis unter 65 Jahre,m,4783
10042,2023,60 bis unter 65 Jahre,f,4754
10042,2023,25 bis unter 30 Jahre,f,2764
10042,2023,25 bis unter 30 Jahre,m,3040
10042,2023,65 bis unter 70 Jahre,f,4180
10042,2023,65 bis unter 70 Jahre,m,3960
10042,2023,20 bis unter 25 Jahre,m,2671
10042,2023,20 bis unter 25 Jahre,f,2416
10042,2023,35 bis unter 40 Jahre,m,3489
10042,2023,35 bis unter 40 Jahre,f,3314
10042,2023,70 bis unter 75 Jahre,f,3484
10042,2023,70 bis unter 75 Jahre,m,3179
10042,2023,15 bis unter 20 Jahre,m,2769
10042,2023,15 bis unter 20 Jahre,f,2332
10042,2023,50 bis unter 55 Jahre,f,3778
10042,2023,50 bis unter 55 Jahre,m,3860
10042,2023,40 bis unter 45 Jahre,m,3455
10042,2023,40 bis unter 45 Jahre,f,3368
10042,2023,45 bis unter 50 Jahre,f,3181
