ags,year,age_band,sex,count
10041,2025,5 bis unter 10 Jahre,f,7451
10041,2025,5 bis unter 10 Jahre,m,7716
10041,2025,65 bis unter 70 Jahre,f,12082
10041,2025,65 bis unter 70 Jahre,m,11298
10041,2025,10 bis unter 15 Jahre,f,6886
10041,2025,10 bis unter 15 Jahre,m,7504
10041,2025,40 bis unter 45 Jahre,m,10418
10041,2025,40 bis unter 45 Jahre,f,9852
10041,2025,55 bis unter 60 Jahre,m,11823
10041,2025,55 bis unter 60 Jahre,f,12149
10041,2025,25 bis unter 30 Jahre,f,10640
10041,2025,25 bis unter 30 Jahre,m,11793
10041,2025,80 bis unter 85 Jahre,m,4378
10041,2025,80 bis unter 85 Jahre,f,6101
10041,2025,50 bis unter 55 Jahre,f,9024
10041,2025,50 bis unter 55 Jahre,m,8910
10041,2025,95 Jahre und mehr,f,621
10041,2025,95 Jahre und mehr,m,195
10041,2025,60 bis unter 65 Jahre,f,13328
10041,2025,60 bis unter 65 Jahre,m,12673
10041,2025,70 bis unter 75 Jahre,f,10421
10041,2025,70 bis unter 75 Jahre,m,8969
10041,2025,15 bis unter 20 Jahre,m,7847
10041,2025,15 bis unter 20 Jahre,f,7151
10041,2025,35 bis unter 40 Jahre,m,11796
10041,2025,35 bis unter 40 Jahre,f,10936
10041,2025,90 bis unter 95 Jahre,f,2137
10041,2025,90 bis unter 95 Jahre,m,916
10041,2025,45 bis unter 50 Jahre,m,9323
10041,2025,45 bis unter 50 Jahre,f,9449
10041,2025,unter 5 Jahre,f,6763
10041,2025,unter 5 Jahre,m,7091
10041,2025,30 bis unter 35 Jahre,m,11698
10041,2025,30 bis unter 35 Jahre,f,10639
10041,2025,85 bis unter 90 Jahre,f,5616
10041,2025,85 bis unter 90 Jahre,m,3193
10041,2025,75 bis unter 80 Jahre,f,8139
10041,2025,75 bis unter 80 Jahre,m,6625
10041,2025,20 bis unter 25 Jahre,m,9556
10041,2025,20 bis unter 25 Jahre,f,8887
10042,2025,35 bis unter 40 Jahre,f,3367
10042,2025,35 bis unter 40 Jahre,m,3641
10042,2025,95 Jahre und mehr,f,198
10042,2025,95 Jahre und mehr,m,46
10042,2025,unter 5 Jahre,f,1904
10042,2025,unter 5 Jahre,m,2048
10042,2025,20 bis unter 25 Jahre,f,2211
10042,2025,20 bis unter 25 Jahre,m,2721
10042,2025,15 bis unter 20 Jahre,f,2292
10042,2025,15 bis unter 20 Jahre,m,2585
10042,2025,75 bis unter 80 Jahre,f,2531
10042,2025,75 bis unter 80 Jahre,m,2154
10042,2025,90 bis unter 95 Jahre,m,311
10042,2025,90 bis unter 95 Jahre,f,679
10042,2025,60 bis unter 65 Jahre,f,4824
10042,2025,60 bis unter 65 Jahre,m,4795
10042,2025,10 bis unter 15 Jahre,m,2510
10042,2025,10 bis unter 15 Jahre,f,2195
10042,2025,65 bis unter 70 Jahre,m,4261
10042,2025,65 bis unter 70 Jahre,f,4330
10042,2025,30 bis unter 35 Jahre,m,3235
10042,2025,30 bis unter 35 Jahre,f,2964
10042,2025,40 bis unter 45 Jahre,f,3307
10042,2025,40 bis unter 45 Jahre,m,3463
10042,2025,85 bis unter 90 Jahre,f,1959
10042,2025,85 bis unter 90 Jahre,m,1058
10042,2025,5 bis unter 10 Jahre,f,2271
10042,2025,5 bis unter 10 Jahre,m,2530
10042,2025,25 bis unter 30 Jahre,f,2727
10042,2025,25 bis unter 30 Jahre,m,2951
10042,2025,50 bis unter 55 Jahre,f,3419
10042,2025,50 bis unter 55 Jahre,m,3321
10042,2025,80 bis unter 85 Jahre,m,1271
10042,2025,80 bis unter 85 Jahre,f,1847
10042,2025,55 bis unter 60 Jahre,m,4446
10042,2025,55 bis unter 60 Jahre,f,4319
10042,2025,70 bis unter 75 Jahre,f,3620
10042,2025,70 bis unter 75 Jahre,m,3237
10042,2025,45 bis unter 50 Jahre,m,3234
10042,2025,45 bis unter 50 Jahre,f,3200
10043,2025,10 bis unter 15 Jahre,f,2821
10043,2025,10 bis unter 15 Jahre,m,2958
10043,2025,45 bis unter 50 Jahre,f,3845
10043,2025,45 bis unter 50 Jahre,m,3719
10043,2025,30 bis unter 35 Jahre,f,3660
10043,2025,30 bis unter 35 Jahre,m,4042
10043,2025,5 bis unter 10 Jahre,m,3200
10043,2025,5 bis unter 10 Jahre,f,2882
10043,2025,50 bis unter 55 Jahre,f,3722
10043,2025,50 bis unter 55 Jahre,m,3663
10043,2025,85 bis unter 90 Jahre,f,2479
10043,2025,85 bis unter 90 Jahre,m,1411
10043,2025,70 bis unter 75 Jahre,f,4403
10043,2025,70 bis unter 75 Jahre,m,3879
10043,2025,65 bis unter 70 Jahre,f,5433
10043,2025,65 bis unter 70 Jahre,m,5156
10043,2025,25 bis unter 30 Jahre,m,3638
10043,2025,25 bis unter 30 Jahre,f,3192
10043,2025,60 bis unter 65 Jahre,m,5772
10043,2025,60 bis unter 65 Jahre,f,6048
10043,2025,80 bis unter 85 Jahre,m,1717
10043,2025,80 bis unter 85 Jahre,f,2469
10043,2025,35 bis unter 40 Jahre,m,4575
10043,2025,35 bis unter 40 Jahre,f,4240
10043,2025,95 Jahre und mehr,m,54
10043,2025,95 Jahre und mehr,f,216
10043,2025,90 bis unter 95 Jahre,f,891
10043,2025,90 bis unter 95 Jahre,m,360
10043,2025,55 bis unter 60 Jahre,f,5308
10043,2025,55 bis unter 60 Jahre,m,5169
10043,2025,20 bis unter 25 Jahre,f,2808
10043,2025,20 bis unter 25 Jahre,m,3170
10043,2025,40 bis unter 45 Jahre,f,4034
10043,2025,40 bis unter 45 Jahre,m,4213
10043,2025,15 bis unter 20 Jahre,f,2805
10043,2025,15 bis unter 20 Jahre,m,3130
10043,2025,unter 5 Jahre,f,2638
10043,2025,unter 5 Jahre,m,2793
