ags,year,age_band,sex,count
10041,2011,95 Jahre und mehr,f,434
10041,2011,95 Jahre und mehr,m,73
10041,2011,5 bis unter 10 Jahre,f,5834
10041,2011,5 bis unter 10 Jahre,m,6421
10041,2011,25 bis unter 30 Jahre,f,10234
10041,2011,25 bis unter 30 Jahre,m,10766
10041,2011,60 bis unter 65 Jahre,m,10747
10041,2011,60 bis unter 65 Jahre,f,11283
10041,2011,80 bis unter 85 Jahre,m,3959
10041,2011,80 bis unter 85 Jahre,f,6637
10041,2011,45 bis unter 50 Jahre,f,13779
10041,2011,45 bis unter 50 Jahre,m,13843
10041,2011,65 bis unter 70 Jahre,f,8311
10041,2011,65 bis unter 70 Jahre,m,7561
10041,2011,20 bis unter 25 Jahre,m,10386
10041,2011,20 bis unter 25 Jahre,f,10362
10041,2011,90 bis unter 95 Jahre,f,1563
10041,2011,90 bis unter 95 Jahre,m,423
10041,2011,55 bis unter 60 Jahre,m,11843
10041,2011,55 bis unter 60 Jahre,f,12157
10041,2011,10 bis unter 15 Jahre,m,7173
10041,2011,10 bis unter 15 Jahre,f,6989
10041,2011,30 bis unter 35 Jahre,f,9318
10041,2011,30 bis unter 35 Jahre,m,9503
10041,2011,75 bis unter 80 Jahre,m,6358
10041,2011,75 bis unter 80 Jahre,f,8717
10041,2011,85 bis unter 90 Jahre,f,4464
10041,2011,85 bis unter 90 Jahre,m,1665
10041,2011,unter 5 Jahre,m,6165
10041,2011,unter 5 Jahre,f,5755
10041,2011,15 bis unter 20 Jahre,f,7895
10041,2011,15 bis unter 20 Jahre,m,8276
10041,2011,70 bis unter 75 Jahre,m,9375
10041,2011,70 bis unter 75 Jahre,f,11524
10041,2011,40 bis unter 45 Jahre,f,11589
10041,2011,40 bis unter 45 Jahre,m,11525
10041,2011,35 bis unter 40 Jahre,m,8558
10041,2011,35 bis unter 40 Jahre,f,8397
10041,2011,50 bis unter 55 Jahre,f,13479
10041,2011,50 bis unter 55 Jahre,m,13655
10042,2011,35 bis unter 40 Jahre,f,2859
10042,2011,35 bis unter 40 Jahre,m,2835
10042,2011,unter 5 Jahre,f,1877
10042,2011,unter 5 Jahre,m,2021
10042,2011,55 bis unter 60 Jahre,f,3960
10042,2011,55 bis unter 60 Jahre,m,4126
10042,2011,75 bis unter 80 Jahre,f,2600
10042,2011,75 bis unter 80 Jahre,m,2010
