ags,year,age_band,sex,count
10041,2017,55 bis unter 60 Jahre,f,13465
10041,2017,55 bis unter 60 Jahre,m,13385
10041,2017,20 bis unter 25 Jahre,f,9699
10041,2017,20 bis unter 25 Jahre,m,10468
10041,2017,unter 5 Jahre,f,6707
10041,2017,unter 5 Jahre,m,7208
10041,2017,40 bis unter 45 Jahre,f,8437
10041,2017,40 bis unter 45 Jahre,m,8538
10041,2017,15 bis unter 20 Jahre,f,7289
10041,2017,15 bis unter 20 Jahre,m,7941
10041,2017,35 bis unter 40 Jahre,f,9469
10041,2017,35 bis unter 40 Jahre,m,9891
10041,2017,80 bis unter 85 Jahre,f,7579
10041,2017,80 bis unter 85 Jahre,m,4949
10041,2017,75 bis unter 80 Jahre,m,7348
10041,2017,75 bis unter 80 Jahre,f,9601
10041,2017,70 bis unter 75 Jahre,m,6696
10041,2017,70 bis unter 75 Jahre,f,7686
10041,2017,65 bis unter 70 Jahre,m,10193
10041,2017,65 bis unter 70 Jahre,f,11151
10041,2017,90 bis unter 95 Jahre,f,2037
10041,2017,90 bis unter 95 Jahre,m,695
10041,2017,45 bis unter 50 Jahre,m,10820
10041,2017,45 bis unter 50 Jahre,f,10960
10041,2017,95 Jahre und mehr,m,119
10041,2017,95 Jahre und mehr,f,518
10041,2017,10 bis unter 15 Jahre,f,6227
10041,2017,10 bis unter 15 Jahre,m,6912
10041,2017,85 bis unter 90 Jahre,f,4242
10041,2017,85 bis unter 90 Jahre,m,2257
10041,2017,25 bis unter 30 Jahre,m,12141
10041,2017,25 bis unter 30 Jahre,f,11103
10041,2017,5 bis unter 10 Jahre,f,6310
10041,2017,5 bis unter 10 Jahre,m,6732
10041,2017,30 bis unter 35 Jahre,f,10050
10041,2017,30 bis unter 35 Jahre,m,11045
10041,2017,60 bis unter 65 Jahre,m,11297
10041,2017,60 bis unter 65 Jahre,f,11975
10041,2017,50 bis unter 55 Jahre,m,13472
10041,2017,50 bis unter 55 Jahre,f,13538
10042,2017,5 bis unter 10 Jahre,m,2230
10042,2017,5 bis unter 10 Jahre,f,2015
10042,2017,50 bis unter 55 Jahre,f,4699
10042,2017,50 bis unter 55 Jahre,m,4660
10042,2017,85 bis unter 90 Jahre,f,1300
10042,2017,85 bis unter 90 Jahre,m,677
10042,2017,30 bis unter 35 Jahre,f,2867
10042,2017,30 bis unter 35 Jahre,m,2945
10042,2017,65 bis unter 70 Jahre,f,3420
10042,2017,65 bis unter 70 Jahre,m,3405
10042,2017,45 bis unter 50 Jahre,m,3719
10042,2017,45 bis unter 50 Jahre,f,3710
10042,2017,90 bis unter 95 Jahre,f,588
10042,2017,90 bis unter 95 Jahre,m,215
10042,2017,70 bis unter 75 Jahre,f,2118
10042,2017,70 bis unter 75 Jahre,m,1866
10042,2017,25 bis unter 30 Jahre,m,2930
10042,2017,25 bis unter 30 Jahre,f,2734
10042,2017,10 bis unter 15 Jahre,m,2408
10042,2017,10 bis unter 15 Jahre,f,2139
10042,2017,95 Jahre und mehr,f,127
10042,2017,95 Jahre und mehr,m,38
10042,2017,60 bis unter 65 Jahre,m,4000
10042,2017,60 bis unter 65 Jahre,f,3977
10042,2017,15 bis unter 20 Jahre,f,2522
10042,2017,15 bis unter 20 Jahre,m,2689
10042,2017,35 bis unter 40 Jahre,f,2990
10042,2017,35 bis unter 40 Jahre,m,2966
10042,2017,40 bis unter 45 Jahre,m,2930
10042,2017,40 bis unter 45 Jahre,f,2936
10042,2017,20 bis unter 25 Jahre,f,2338
