ags,year,age_band,sex,count
10041,2014,10 bis unter 15 Jahre,m,6655
10041,2014,10 bis unter 15 Jahre,f,6286
10041,2014,45 bis unter 50 Jahre,m,12746
10041,2014,45 bis unter 50 Jahre,f,12798
10041,2014,65 bis unter 70 Jahre,m,8396
10041,2014,65 bis unter 70 Jahre,f,9157
10041,2014,25 bis unter 30 Jahre,m,11443
10041,2014,25 bis unter 30 Jahre,f,10609
10041,2014,70 bis unter 75 Jahre,f,9646
10041,2014,70 bis unter 75 Jahre,m,8122
10041,2014,50 bis unter 55 Jahre,m,13745
10041,2014,50 bis unter 55 Jahre,f,13796
10041,2014,90 bis unter 95 Jahre,f,2079
10041,2014,90 bis unter 95 Jahre,m,574
10041,2014,30 bis unter 35 Jahre,m,10489
10041,2014,30 bis unter 35 Jahre,f,9642
10041,2014,85 bis unter 90 Jahre,m,1998
10041,2014,85 bis unter 90 Jahre,f,4359
10041,2014,15 bis unter 20 Jahre,f,7574
10041,2014,15 bis unter 20 Jahre,m,8097
10041,2014,35 bis unter 40 Jahre,f,8621
10041,2014,35 bis unter 40 Jahre,m,8637
10041,2014,5 bis unter 10 Jahre,m,6268
10041,2014,5 bis unter 10 Jahre,f,5774
10041,2014,40 bis unter 45 Jahre,m,9272
10041,2014,40 bis unter 45 Jahre,f,9315
10041,2014,60 bis unter 65 Jahre,f,11735
10041,2014,60 bis unter 65 Jahre,m,11009
10041,2014,55 bis unter 60 Jahre,m,12685
10041,2014,55 bis unter 60 Jahre,f,12721
10041,2014,20 bis unter 25 Jahre,m,10464
10041,2014,20 bis unter 25 Jahre,f,10078
10041,2014,unter 5 Jahre,m,6297
10041,2014,unter 5 Jahre,f,5906
10041,2014,75 bis unter 80 Jahre,m,7567
10041,2014,75 bis unter 80 Jahre,f,10143
10041,2014,80 bis unter 85 Jahre,f,6377
10041,2014,80 bis unter 85 Jahre,m,4068
10041,2014,95 Jahre und mehr,m,85
10041,2014,95 Jahre und mehr,f,371
10042,2014,60 bis unter 65 Jahre,m,3834
10042,2014,60 bis unter 65 Jahre,f,3762
10042,2014,40 bis unter 45 Jahre,m,3252
10042,2014,40 bis unter 45 Jahre,f,3223
10042,2014,55 bis unter 60 Jahre,m,4429
10042,2014,55 bis unter 60 Jahre,f,4215
10042,2014,75 bis unter 80 Jahre,m,2422
10042,2014,75 bis unter 80 Jahre,f,3182
10042,2014,80 bis unter 85 Jahre,m,1276
10042,2014,80 bis unter 85 Jahre,f,1966
10042,2014,5 bis unter 10 Jahre,f,1960
10042,2014,5 bis unter 10 Jahre,m,2134
10042,2014,35 bis unter 40 Jahre,m,2770
10042,2014,35 bis unter 40 Jahre,f,2780
10042,2014,20 bis unter 25 Jahre,m,2773
10042,2014,20 bis unter 25 Jahre,f,2491
10042,2014,65 bis unter 70 Jahre,f,2583
10042,2014,65 bis unter 70 Jahre,m,2476
10042,2014,30 bis unter 35 Jahre,f,2834
10042,2014,30 bis unter 35 Jahre,m,2769
10042,2014,10 bis unter 15 Jahre,f,2337
10042,2014,10 bis unter 15 Jahre,m,2504
10042,2014,85 bis unter 90 Jahre,f,1287
10042,2014,85 bis unter 90 Jahre,m,644
10042,2014,unter 5 Jahre,f,1819
10042,2014,unter 5 Jahre,m,1933
10042,2014,90 bis unter 95 Jahre,m,183
10042,2014,90 bis unter 95 Jahre,f,588
10042,2014,50 bis unter 55 Jahre,m,4828
10042,2014,50 bis unter 55 Jahre,f,4794
10042,2014,95 Jahre und mehr,f,84
10042,2014,95 Jahre und mehr,m,17
10042,2014,15 bis unter 20 Jahre,f,2617
10042,2014,15 bis unter 20 Jahre,m,2757
10042,2014,45 bis unter 50 Jahre,m,4369
10042,2014,45 bis unter 50 Jahre,f,4365
10042,2014,70 bis unter 75 Jahre,m,2371
10042,2014,70 bis unter 75 Jahre,f,2806
10042,2014,25 bis unter 30 Jahre,f,2669
10042,2014,25 bis unter 30 Jahre,m,2884
10043,2014,90 bis unter 95 Jahre,m,224
10043,2014,90 bis unter 95 Jahre,f,822
10043,2014,30 bis unter 35 Jahre,m,3826
10043,2014,30 bis unter 35 Jahre,f,3487
