ags,year,age_band,sex,count
10043,2020,15 bis unter 20 Jahre,f,2627
10043,2020,40 bis unter 45 Jahre,f,3690
10043,2020,40 bis unter 45 Jahre,m,3581
10043,2020,75 bis unter 80 Jahre,f,3144
10043,2020,75 bis unter 80 Jahre,m,2418
10043,2020,95 Jahre und mehr,m,40
10043,2020,95 Jahre und mehr,f,225
10044,2020,95 Jahre und mehr,m,80
10044,2020,95 Jahre und mehr,f,328
10044,2020,75 bis unter 80 Jahre,m,3475
10044,2020,75 bis unter 80 Jahre,f,4531
10044,2020,40 bis unter 45 Jahre,m,5307
10044,2020,40 bis unter 45 Jahre,f,5405
10044,2020,20 bis unter 25 Jahre,m,5061
10044,2020,20 bis unter 25 Jahre,f,4286
10044,2020,unter 5 Jahre,m,4194
10044,2020,unter 5 Jahre,f,4085
10044,2020,60 bis unter 65 Jahre,f,8321
10044,2020,60 bis unter 65 Jahre,m,8020
10044,2020,80 bis unter 85 Jahre,m,3574
10044,2020,80 bis unter 85 Jahre,f,5276
10044,2020,15 bis unter 20 Jahre,m,4375
10044,2020,15 bis unter 20 Jahre,f,4011
10044,2020,25 bis unter 30 Jahre,f,4952
10044,2020,25 bis unter 30 Jahre,m,5455
10044,2020,55 bis unter 60 Jahre,m,8650
10044,2020,55 bis unter 60 Jahre,f,8916
10044,2020,10 bis unter 15 Jahre,f,3841
10044,2020,10 bis unter 15 Jahre,m,4107
10044,2020,85 bis unter 90 Jahre,f,2861
10044,2020,85 bis unter 90 Jahre,m,1650
10044,2020,30 bis unter 35 Jahre,f,5623
10044,2020,30 bis unter 35 Jahre,m,6083
10044,2020,5 bis unter 10 Jahre,f,3884
10044,2020,5 bis unter 10 Jahre,m,4203
10044,2020,65 bis unter 70 Jahre,m,6762
10044,2020,65 bis unter 70 Jahre,f,7167
10044,2020,90 bis unter 95 Jahre,f,1225
10044,2020,90 bis unter 95 Jahre,m,484
10044,2020,45 bis unter 50 Jahre,m,5267
10044,2020,45 bis unter 50 Jahre,f,5552
10044,2020,70 bis unter 75 Jahre,m,5050
10044,2020,70 bis unter 75 Jahre,f,5445
10044,2020,50 bis unter 55 Jahre,m,7361
10044,2020,50 bis unter 55 Jahre,f,7635
10044,2020,35 bis unter 40 Jahre,f,5454
10044,2020,35 bis unter 40 Jahre,m,5776
10045,2020,50 bis unter 55 Jahre,m,5548
10045,2020,50 bis unter 55 Jahre,f,5642
10045,2020,70 bis unter 75 Jahre,m,3687
10045,2020,70 bis unter 75 Jahre,f,4110
10045,2020,30 bis unter 35 Jahre,m,4125
10045,2020,30 bis unter 35 Jahre,f,3900
10045,2020,65 bis unter 70 Jahre,m,4787
10045,2020,65 bis unter 70 Jahre,f,5190
10045,2020,35 bis unter 40 Jahre,f,3870
10045,2020,35 bis unter 40 Jahre,m,4027
10045,2020,90 bis unter 95 Jahre,m,436
10045,2020,90 bis unter 95 Jahre,f,989
10045,2020,75 bis unter 80 Jahre,f,3493
10045,2020,75 bis unter 80 Jahre,m,2773
10045,2020,45 bis unter 50 Jahre,f,3961
10045,2020,45 bis unter 50 Jahre,m,3768
10045,2020,95 Jahre und mehr,f,268
10045,2020,95 Jahre und mehr,m,98
10045,2020,25 bis unter 30 Jahre,m,3972
10045,2020,25 bis unter 30 Jahre,f,3668
10045,2020,unter 5 Jahre,f,2768
10045,2020,unter 5 Jahre,m,2887
10045,2020,55 bis unter 60 Jahre,f,6561
10045,2020,55 bis unter 60 Jahre,m,6209
10045,2020,80 bis unter 85 Jahre,f,4110
10045,2020,80 bis unter 85 Jahre,m,2838
10045,2020,60 bis unter 65 Jahre,m,5837
10045,2020,60 bis unter 65 Jahre,f,6139
10045,2020,10 bis unter 15 Jahre,f,2885
10045,2020,10 bis unter 15 Jahre,m,2941
10045,2020,15 bis unter 20 Jahre,m,3136
10045,2020,15 bis unter 20 Jahre,f,2958
10045,2020,40 bis unter 45 Jahre,m,3778
10045,2020,40 bis unter 45 Jahre,f,3868
10045,2020,85 bis unter 90 Jahre,f,2204
10045,2020,85 bis unter 90 Jahre,m,1297
10045,2020,5 bis unter 10 Jahre,m,2987
10045,2020,5 bis unter 10 Jahre,f,2695
10045,2020,20 bis unter 25 Jahre,f,3520
10045,2020,20 bis unter 25 Jahre,m,3726
10046,2020,5 bis unter 10 Jahre,f,1619
10046,2020,5 bis unter 10 Jahre,m,1656
10046,2020,60 bis unter 65 Jahre,m,3891
10046,2020,60 bis unter 65 Jahre,f,3828
10046,2020,25 bis unter 30 Jahre,f,2115
10046,2020,25 bis unter 30 Jahre,m,2304
10046,2020,45 bis unter 50 Jahre,f,2534
10046,2020,45 bis unter 50 Jahre,m,2434
10046,2020,80 bis unter 85 Jahre,m,1700
10046,2020,80 bis unter 85 Jahre,f,2377
10046,2020,10 bis unter 15 Jahre,f,1729
10046,2020,10 bis unter 15 Jahre,m,1697
10046,2020,40 bis unter 45 Jahre,m,2281
10046,2020,40 bis unter 45 Jahre,f,2383
10046,2020,85 bis unter 90 Jahre,f,1259
10046,2020,85 bis unter 90 Jahre,m,815
10046,2020,unter 5 Jahre,m,1633
10046,2020,unter 5 Jahre,f,1595
10046,2020,15 bis unter 20 Jahre,m,1962
10046,2020,15 bis unter 20 Jahre,f,1769
10046,2020,30 bis unter 35 Jahre,f,2376
10046,2020,30 bis unter 35 Jahre,m,2456
10046,2020,75 bis unter 80 Jahre,m,1699
10046,2020,75 bis unter 80 Jahre,f,1960
10046,2020,50 bis unter 55 Jahre,f,3554
10046,2020,50 bis unter 55 Jahre,m,3492
10046,2020,95 Jahre und mehr,f,144
10046,2020,95 Jahre und mehr,m,49
10046,2020,20 bis unter 25 Jahre,m,2085
10046,2020,20 bis unter 25 Jahre,f,1780
10046,2020,90 bis unter 95 Jahre,m,224
10046,2020,90 bis unter 95 Jahre,f,560
10046,2020,65 bis unter 70 Jahre,m,3241
10046,2020,65 bis unter 70 Jahre,f,3309
10046,2020,35 bis unter 40 Jahre,f,2323
10046,2020,35 bis unter 40 Jahre,m,2461
10046,2020,70 bis unter 75 Jahre,f,2478
10046,2020,70 bis unter 75 Jahre,m,2362
10046,2020,55 bis unter 60 Jahre,m,4155
10046,2020,55 bis unter 60 Jahre,f,4169
11000,2020,90 bis unter 95 Jahre,f,16429
11000,2020,90 bis unter 95 Jahre,m,6975
11000,2020,70 bis unter 75 Jahre,f,82920
11000,2020,70 bis unter 75 Jahre,m,68183
11000,2020,25 bis unter 30 Jahre,m,133135
11000,2020,25 bis unter 30 Jahre,f,133964
11000,2020,50 bis unter 55 Jahre,f,124095
11000,2020,50 bis unter 55 Jahre,m,127730
11000,2020,10 bis unter 15 Jahre,m,81559
11000,2020,10 bis unter 15 Jahre,f,77035
11000,2020,5 bis unter 10 Jahre,m,88989
11000,2020,5 bis unter 10 Jahre,f,84169
11000,2020,30 bis unter 35 Jahre,f,166282
11000,2020,30 bis unter 35 Jahre,m,170109
11000,2020,85 bis unter 90 Jahre,m,22524
11000,2020,85 bis unter 90 Jahre,f,38269
11000,2020,65 bis unter 70 Jahre,f,96268
11000,2020,65 bis unter 70 Jahre,m,83322
11000,2020,45 bis unter 50 Jahre,m,109198
11000,2020,45 bis unter 50 Jahre,f,105670
11000,2020,95 Jahre und mehr,m,1289
11000,2020,95 Jahre und mehr,f,5336
11000,2020,80 bis unter 85 Jahre,m,53399
11000,2020,80 bis unter 85 Jahre,f,77021
11000,2020,20 bis unter 25 Jahre,f,98744
11000,2020,20 bis unter 25 Jahre,m,99208
11000,2020,75 bis unter 80 Jahre,f,86115
11000,2020,75 bis unter 80 Jahre,m,67878
11000,2020,unter 5 Jahre,m,98150
11000,2020,unter 5 Jahre,f,93172
11000,2020,35 bis unter 40 Jahre,m,151118
11000,2020,35 bis unter 40 Jahre,f,144360
11000,2020,60 bis unter 65 Jahre,f,106205
11000,2020,60 bis unter 65 Jahre,m,103718
11000,2020,15 bis unter 20 Jahre,m,75481
11000,2020,15 bis unter 20 Jahre,f,71745
11000,2020,55 bis unter 60 Jahre,m,133893
11000,2020,55 bis unter 60 Jahre,f,132996
11000,2020,40 bis unter 45 Jahre,f,121255
11000,2020,40 bis unter 45 Jahre,m,126180
12051,2020,35 bis unter 40 Jahre,f,2334
12051,2020,35 bis unter 40 Jahre,m,2538
12051,2020,unter 5 Jahre,f,1519
12051,2020,unter 5 Jahre,m,1514
12051,2020,55 bis unter 60 Jahre,f,3005
12051,2020,55 bis unter 60 Jahre,m,3102
12051,2020,20 bis unter 25 Jahre,f,1355
12051,2020,20 bis unter 25 Jahre,m,1686
12051,2020,15 bis unter 20 Jahre,f,1262
12051,2020,15 bis unter 20 Jahre,m,1246
12051,2020,40 bis unter 45 Jahre,f,1925
12051,2020,40 bis unter 45 Jahre,m,2275
12051,2020,70 bis unter 75 Jahre,m,1558
12051,2020,70 bis unter 75 Jahre,f,1910
12051,2020,80 bis unter 85 Jahre,f,2559
12051,2020,80 bis unter 85 Jahre,m,1781
12051,2020,65 bis unter 70 Jahre,m,2422
12051,2020,65 bis unter 70 Jahre,f,2755
12051,2020,95 Jahre und mehr,f,148
12051,2020,95 Jahre und mehr,m,30
12051,2020,75 bis unter 80 Jahre,m,1878
12051,2020,75 bis unter 80 Jahre,f,2468
12051,2020,10 bis unter 15 Jahre,m,1468
12051,2020,10 bis unter 15 Jahre,f,1388
12051,2020,90 bis unter 95 Jahre,f,566
12051,2020,90 bis unter 95 Jahre,m,229
12051,2020,45 bis unter 50 Jahre,m,1903
12051,2020,45 bis unter 50 Jahre,f,1687
12051,2020,85 bis unter 90 Jahre,f,1242
12051,2020,85 bis unter 90 Jahre,m,656
12051,2020,30 bis unter 35 Jahre,f,2387
12051,2020,30 bis unter 35 Jahre,m,2718
12051,2020,60 bis unter 65 Jahre,m,2729
12051,2020,60 bis unter 65 Jahre,f,2870
12051,2020,5 bis unter 10 Jahre,f,1513
12051,2020,5 bis unter 10 Jahre,m,1581
12051,2020,25 bis unter 30 Jahre,m,1660
12051,2020,25 bis unter 30 Jahre,f,1351
12051,2020,50 bis unter 55 Jahre,m,2506
12051,2020,50 bis unter 55 Jahre,f,2316
12052,2020,85 bis unter 90 Jahre,f,1646
12052,2020,85 bis unter 90 Jahre,m,921
12052,2020,30 bis unter 35 Jahre,f,3345
12052,2020,30 bis unter 35 Jahre,m,3861
12052,2020,45 bis unter 50 Jahre,f,2426
12052,2020,45 bis unter 50 Jahre,m,2474
12052,2020,25 bis unter 30 Jahre,m,2660
12052,2020,25 bis unter 30 Jahre,f,2165
12052,2020,50 bis unter 55 Jahre,f,3241
12052,2020,50 bis unter 55 Jahre,m,3387
12052,2020,65 bis unter 70 Jahre,f,3909
12052,2020,65 bis unter 70 Jahre,m,3276
12052,2020,5 bis unter 10 Jahre,m,2195
12052,2020,5 bis unter 10 Jahre,f,1973
12052,2020,70 bis unter 75 Jahre,f,2636
12052,2020,70 bis unter 75 Jahre,m,2146
12052,2020,90 bis unter 95 Jahre,f,637
12052,2020,90 bis unter 95 Jahre,m,272
12052,2020,10 bis unter 15 Jahre,m,1981
12052,2020,10 bis unter 15 Jahre,f,1922
12052,2020,60 bis unter 65 Jahre,m,3582
12052,2020,60 bis unter 65 Jahre,f,4018
12052,2020,15 bis unter 20 Jahre,m,1989
12052,2020,15 bis unter 20 Jahre,f,1820
12052,2020,40 bis unter 45 Jahre,m,2978
12052,2020,40 bis unter 45 Jahre,f,2665
12052,2020,35 bis unter 40 Jahre,f,2986
12052,2020,35 bis unter 40 Jahre,m,3544
12052,2020,75 bis unter 80 Jahre,f,3067
12052,2020,75 bis unter 80 Jahre,m,2212
12052,2020,20 bis unter 25 Jahre,f,2315
12052,2020,20 bis unter 25 Jahre,m,2591
12052,2020,unter 5 Jahre,f,2042
12052,2020,unter 5 Jahre,m,2085
12052,2020,95 Jahre und mehr,m,33
12052,2020,95 Jahre und mehr,f,210
12052,2020,80 bis unter 85 Jahre,f,3096
12052,2020,80 bis unter 85 Jahre,m,2124
12052,2020,55 bis unter 60 Jahre,f,4229
12052,2020,55 bis unter 60 Jahre,m,4034
12053,2020,15 bis unter 20 Jahre,m,1174
12053,2020,15 bis unter 20 Jahre,f,1106
12053,2020,60 bis unter 65 Jahre,f,2498
12053,2020,60 bis unter 65 Jahre,m,2331
12053,2020,80 bis unter 85 Jahre,f,1864
12053,2020,80 bis unter 85 Jahre,m,1180
12053,2020,35 bis unter 40 Jahre,m,1857
12053,2020,35 bis unter 40 Jahre,f,1653
12053,2020,55 bis unter 60 Jahre,m,2424
12053,2020,55 bis unter 60 Jahre,f,2550
12053,2020,95 Jahre und mehr,f,102
12053,2020,95 Jahre und mehr,m,25
12053,2020,20 bis unter 25 Jahre,m,1423
12053,2020,20 bis unter 25 Jahre,f,1471
12053,2020,unter 5 Jahre,f,1032
12053,2020,unter 5 Jahre,m,1165
12053,2020,40 bis unter 45 Jahre,f,1583
12053,2020,40 bis unter 45 Jahre,m,1713
12053,2020,90 bis unter 95 Jahre,m,155
12053,2020,90 bis unter 95 Jahre,f,412
12053,2020,5 bis unter 10 Jahre,f,1102
12053,2020,5 bis unter 10 Jahre,m,1167
12053,2020,10 bis unter 15 Jahre,f,1166
12053,2020,10 bis unter 15 Jahre,m,1214
12053,2020,75 bis unter 80 Jahre,m,1213
12053,2020,75 bis unter 80 Jahre,f,1650
12053,2020,85 bis unter 90 Jahre,f,972
12053,2020,85 bis unter 90 Jahre,m,531
12053,2020,65 bis unter 70 Jahre,m,2174
12053,2020,65 bis unter 70 Jahre,f,2369
12053,2020,70 bis unter 75 Jahre,f,1586
12053,2020,70 bis unter 75 Jahre,m,1316
12053,2020,25 bis unter 30 Jahre,m,1320
12053,2020,25 bis unter 30 Jahre,f,1195
12053,2020,50 bis unter 55 Jahre,f,1799
12053,2020,50 bis unter 55 Jahre,m,1852
12053,2020,30 bis unter 35 Jahre,f,1702
12053,2020,30 bis unter 35 Jahre,m,1933
12053,2020,45 bis unter 50 Jahre,m,1537
12053,2020,45 bis unter 50 Jahre,f,1499
12054,2020,65 bis unter 70 Jahre,m,4358
12054,2020,65 bis unter 70 Jahre,f,5234
12054,2020,10 bis unter 15 Jahre,m,4509
12054,2020,10 bis unter 15 Jahre,f,4184
12054,2020,85 bis unter 90 Jahre,m,1312
12054,2020,85 bis unter 90 Jahre,f,2221
12054,2020,70 bis unter 75 Jahre,m,3058
12054,2020,70 bis unter 75 Jahre,f,3735
12054,2020,5 bis unter 10 Jahre,m,4751
12054,2020,5 bis unter 10 Jahre,f,4477
12054,2020,50 bis unter 55 Jahre,f,5960
12054,2020,50 bis unter 55 Jahre,m,6055
12054,2020,90 bis unter 95 Jahre,f,962
12054,2020,90 bis unter 95 Jahre,m,440
12054,2020,30 bis unter 35 Jahre,m,7877
12054,2020,30 bis unter 35 Jahre,f,8130
12054,2020,15 bis unter 20 Jahre,f,3834
12054,2020,15 bis unter 20 Jahre,m,4060
12054,2020,45 bis unter 50 Jahre,m,5526
12054,2020,45 bis unter 50 Jahre,f,5417
12054,2020,25 bis unter 30 Jahre,f,5296
12054,2020,25 bis unter 30 Jahre,m,5237
12054,2020,35 bis unter 40 Jahre,f,7463
12054,2020,35 bis unter 40 Jahre,m,6999
12054,2020,55 bis unter 60 Jahre,f,6466
12054,2020,55 bis unter 60 Jahre,m,6411
12054,2020,60 bis unter 65 Jahre,m,5048
12054,2020,60 bis unter 65 Jahre,f,5345
12054,2020,20 bis unter 25 Jahre,m,4794
12054,2020,20 bis unter 25 Jahre,f,5215
12054,2020,unter 5 Jahre,m,5077
12054,2020,unter 5 Jahre,f,4675
12054,2020,75 bis unter 80 Jahre,m,3121
12054,2020,75 bis unter 80 Jahre,f,4274
12054,2020,80 bis unter 85 Jahre,f,4252
12054,2020,80 bis unter 85 Jahre,m,2859
12054,2020,40 bis unter 45 Jahre,m,6580
12054,2020,40 bis unter 45 Jahre,f,6618
12054,2020,95 Jahre und mehr,m,50
12054,2020,95 Jahre und mehr,f,232
12060,2020,55 bis unter 60 Jahre,m,8896
12060,2020,55 bis unter 60 Jahre,f,8873
12060,2020,unter 5 Jahre,m,4308
12060,2020,unter 5 Jahre,f,3924
12060,2020,75 bis unter 80 Jahre,m,4179
12060,2020,75 bis unter 80 Jahre,f,4933
12060,2020,80 bis unter 85 Jahre,m,3608
