ags,year,marriages
14627,2021,1102
14627,2022,1205
14627,2023,1001
14627,2024,954
14627,2025,921
14628,2018,1596
14628,2019,1403
14628,2020,1368
14628,2021,1216
14628,2022,1261
14628,2023,1166
14628,2024,1069
14628,2025,1008
14713,2018,2304
14713,2019,2177
14713,2020,1750
14713,2021,1831
14713,2022,1808
14713,2023,1855
14713,2024,1904
14713,2025,1947
14729,2018,2009
14729,2019,1696
14729,2020,1586
14729,2021,1350
14729,2022,1534
14729,2023,1394
14729,2024,1306
14729,2025,1419
14730,2018,1086
14730,2019,966
14730,2020,938
14730,2021,799
14730,2022,843
14730,2023,813
14730,2024,763
14730,2025,720
15001,2018,331
15001,2019,268
15001,2020,288
15001,2021,234
15001,2022,285
15001,2023,245
15001,2024,260
15001,2025,237
15002,2018,934
15002,2019,823
15002,2020,740
15002,2021,680
15002,2022,661
15002,2023,627
15002,2024,619
15002,2025,606
15003,2018,1067
15003,2019,829
15003,2020,798
15003,2021,785
15003,2022,861
15003,2023,838
15003,2024,634
15003,2025,657
15081,2018,421
15081,2019,401
15081,2020,338
15081,2021,333
15081,2022,346
15081,2023,306
15081,2024,271
15081,2025,310
15082,2018,774
15082,2019,680
15082,2020,585
15082,2021,611
15082,2022,623
15082,2023,583
15082,2024,515
15082,2025,573
15083,2018,957
15083,2019,858
15083,2020,790
15083,2021,707
15083,2022,759
15083,2023,689
15083,2024,703
15083,2025,654
15084,2018,914
15084,2019,784
15084,2020,774
15084,2021,629
15084,2022,760
15084,2023,647
15084,2024,582
15084,2025,564
15085,2018,1456
15085,2019,1357
15085,2020,1149
15085,2021,1050
15085,2022,1152
15085,2023,1063
15085,2024,1038
15085,2025,996
15086,2018,562
15086,2019,537
15086,2020,474
15086,2021,407
15086,2022,426
15086,2023,352
15086,2024,363
15086,2025,325
15087,2018,606
15087,2019,559
15087,2020,543
15087,2021,494
15087,2022,523
15087,2023,506
15087,2024,446
15087,2025,441
15088,2018,1182
15088,2019,1099
15088,2020,975
15088,2021,971
15088,2022,1001
15088,2023,917
15088,2024,874
15088,2025,877
15089,2018,911
15089,2019,791
15089,2020,720
15089,2021,615
15089,2022,739
15089,2023,726
15089,2024,656
15089,2025,624
15090,2018,583
15090,2019,567
15090,2020,476
15090,2021,410
15090,2022,537
15090,2023,451
15090,2024,453
15090,2025,457
15091,2018,672
15091,2019,664
15091,2020,537
15091,2021,501
15091,2022,593
15091,2023,519
15091,2024,487
15091,2025,509
16051,2018,1028
16051,2019,913
16051,2020,797
16051,2021,739
16051,2022,792
16051,2023,710
16051,2024,732
16051,2025,739
16052,2018,361
16052,2019,332
16052,2020,315
16052,2021,316
16052,2022,308
16052,2023,289
16052,2024,246
16052,2025,265
16053,2018,487
16053,2019,417
16053,2020,377
16053,2021,359
16053,2022,378
16053,2023,307
16053,2024,304
16053,2025,249
16054,2018,148
16054,2019,163
16054,2020,143
16054,2021,141
16054,2022,131
16054,2023,98
16054,2024,112
16054,2025,120
16055,2018,368
16055,2019,352
16055,2020,314
16055,2021,273
16055,2022,326
16055,2023,273
16055,2024,257
16055,2025,202
16056,2018,267
16056,2019,240
16056,2020,232
16061,2018,476
16061,2019,405
16061,2020,357
16061,2021,317
16061,2022,379
16061,2023,334
16061,2024,319
16061,2025,286
16062,2018,399
16062,2019,323
16062,2020,308
16062,2021,265
16062,2022,333
16062,2023,273
16062,2024,260
16062,2025,255
16063,2018,610
16063,2019,514
16063,2020,440
16063,2021,569
16063,2022,636
16063,2023,617
16063,2024,536
16063,2025,506
16064,2018,456
16064,2019,486
16064,2020,456
16064,2021,386
16064,2022,468
16064,2023,426
16064,2024,365
16064,2025,374
16065,2018,379
16065,2019,339
16065,2020,309
16065,2021,275
16065,2022,322
16065,2023,286
16065,2024,283
16065,2025,262
16066,2018,592
16066,2019,566
16066,2020,496
16066,2021,417
16066,2022,500
16066,2023,483
16066,2024,413
16066,2025,427
16067,2018,742
16067,2019,615
16067,2020,575
16067,2021,520
16067,2022,539
16067,2023,540
16067,2024,545
16067,2025,509
16068,2018,337
16068,2019,334
16068,2020,256
16068,2021,227
16068,2022,284
16068,2023,237
16068,2024,255
16068,2025,249
16069,2018,266
16069,2019,272
16069,2020,264
16069,2021,207
16069,2022,235
16069,2023,203
16069,2024,182
16069,2025,191
16070,2018,526
16070,2019,401
16070,2020,389
16070,2021,354
16070,2022,404
16070,2023,361
16070,2024,367
16070,2025,318
16071,2018,507
16071,2019,427
16071,2020,353
16071,2021,398
16071,2022,407
16071,2023,359
16071,2024,366
16071,2025,369
