ags,year,marriages
03359,2022,1447
03359,2023,1373
03359,2024,1272
03359,2025,1278
06438,2018,1523
06438,2019,1326
06438,2020,1230
06438,2021,1167
06438,2022,1284
06438,2023,1219
06438,2024,1138
06438,2025,1139
05913,2018,2941
05913,2019,2663
05913,2020,2255
05913,2021,2165
05913,2022,2427
05913,2023,2464
05913,2024,2219
05913,2025,2312
05770,2018,1599
05770,2019,1559
05770,2020,1377
05770,2021,1331
05770,2022,1457
05770,2023,1289
05770,2024,1306
05770,2025,1304
03461,2018,457
03461,2019,418
03461,2020,417
03461,2021,356
03461,2022,492
03461,2023,357
03461,2024,349
03461,2025,365
06532,2018,1408
06532,2019,1286
06532,2020,1118
06532,2021,1091
06532,2022,1132
06532,2023,1063
06532,2024,998
06532,2025,1010
05382,2018,3590
05382,2019,3268
05382,2020,2896
05382,2021,2737
05382,2022,3068
05382,2023,2727
05382,2024,2703
05382,2025,2619
03356,2018,714
03356,2019,633
03356,2020,618
03356,2021,566
03356,2022,646
03356,2023,545
03356,2024,543
03356,2025,548
03459,2018,1940
03459,2019,1716
03459,2020,1689
03459,2021,1664
03459,2022,1802
03459,2023,1658
03459,2024,1643
03459,2025,1672
09762,2018,320
09762,2019,285
09762,2020,259
09762,2021,286
09762,2022,303
09762,2023,271
09762,2024,257
09762,2025,262
07336,2018,413
07336,2019,359
07336,2020,345
07336,2021,305
07336,2022,371
07336,2023,299
07336,2024,272
07336,2025,263
08325,2018,725
08325,2019,718
08325,2020,638
08325,2021,683
08325,2022,687
08325,2023,588
08325,2024,604
08325,2025,611
09187,2018,1756
09187,2019,1761
09187,2020,1473
09187,2021,1493
09187,2022,1604
09187,2023,1477
09187,2024,1458
09187,2025,1405
03103,2018,796
03103,2019,758
03103,2020,650
03103,2021,629
03103,2022,657
03103,2023,647
03103,2024,597
03103,2025,627
06436,2018,997
06436,2019,895
06436,2020,828
06436,2021,795
06436,2022,805
06436,2023,785
06436,2024,745
06436,2025,751
07135,2018,388
07135,2019,425
07135,2020,350
07135,2021,290
07135,2022,403
07135,2023,336
07135,2024,356
07135,2025,318
09278,2018,533
09278,2019,490
09278,2020,422
09278,2021,455
09278,2022,502
09278,2023,432
09278,2024,439
09278,2025,395
08125,2018,1813
08125,2019,1755
08125,2020,1637
08125,2021,1527
08125,2022,1703
08125,2023,1488
08125,2024,1483
08125,2025,1436
01056,2018,2469
01056,2019,2164
01056,2020,2052
01056,2021,1908
01056,2022,2143
01056,2023,1981
01056,2024,1784
01056,2025,1752
09172,2018,729
09172,2019,677
09172,2020,586
09172,2021,611
09172,2022,675
09172,2023,672
09172,2024,637
09172,2025,720
09272,2018,450
09272,2019,430
09272,2020,380
09272,2021,348
09272,2022,401
09272,2023,355
09272,2024,352
09272,2025,341
07340,2018,509
07340,2019,486
07340,2020,440
07340,2021,420
07340,2022,493
07340,2023,384
07340,2024,357
07340,2025,370
09174,2018,778
09174,2019,674
09174,2020,661
09174,2021,637
09174,2022,709
09174,2023,601
09174,2024,592
09174,2025,634
06412,2018,3572
06412,2019,3171
06412,2020,2734
06412,2021,2828
06412,2022,2897
06412,2023,2751
06412,2024,2639
06412,2025,2570
07232,2018,554
07232,2019,506
07232,2020,467
07232,2021,482
07232,2022,546
07232,2023,523
07232,2024,490
07232,2025,484
08135,2018,574
08135,2019,588
08135,2020,572
08135,2021,506
08135,2022,595
08135,2023,534
08135,2024,497
08135,2025,488
05978,2018,2063
05978,2019,1900
05978,2020,1579
05978,2021,1611
05978,2022,1790
05978,2023,1562
05978,2024,1610
05978,2025,1529
05970,2018,1481
05970,2019,1371
05970,2020,1242
05970,2021,1290
05970,2022,1366
05970,2023,1165
05970,2024,1083
05970,2025,1136
09185,2018,549
09185,2019,545
09185,2020,483
09185,2021,458
09185,2022,568
09185,2023,485
09185,2024,461
09185,2025,460
03361,2018,770
03361,2019,701
03361,2020,635
03361,2021,605
03361,2022,699
03361,2023,635
03361,2024,633
03361,2025,683
03456,2018,784
03456,2019,746
03456,2020,657
03456,2021,644
03456,2022,747
03456,2023,660
03456,2024,617
03456,2025,646
08116,2018,2655
08116,2019,2479
08116,2020,2341
08116,2021,2235
08116,2022,2428
08116,2023,2123
08116,2024,1989
08116,2025,2023
07132,2018,620
07132,2019,606
07132,2020,535
07132,2021,496
07132,2022,583
07132,2023,571
07132,2024,466
07132,2025,491
09477,2018,494
09477,2019,446
09477,2020,386
09477,2021,392
09477,2022,457
09477,2023,404
09477,2024,370
09477,2025,403
05315,2018,6915
05315,2019,5808
05315,2020,5445
05315,2021,4783
05315,2022,5257
05315,2023,5089
05315,2024,4965
05315,2025,5187
07313,2018,270
07313,2019,250
07313,2020,252
07313,2021,250
07313,2022,262
07313,2023,269
07313,2024,228
07313,2025,254
07332,2018,953
07332,2019,829
07332,2020,720
07332,2021,752
07332,2022,845
07332,2023,810
07332,2024,785
07332,2025,743
01003,2018,1237
01003,2019,1143
01003,2020,984
01003,2021,930
01003,2022,1032
01003,2023,961
01003,2024,978
01003,2025,974
03153,2018,930
03153,2019,781
03153,2020,750
03153,2021,680
03153,2022,789
03153,2023,697
03153,2024,676
03153,2025,645
05962,2018,2096
05962,2019,1991
05962,2020,1718
05962,2021,1740
05962,2022,1865
05962,2023,1645
05962,2024,1583
05962,2025,1615
08236,2018,975
08236,2019,992
08236,2020,858
08236,2021,836
08236,2022,904
08236,2023,860
08236,2024,693
08236,2025,762
07318,2018,442
07318,2019,483
07318,2020,408
07318,2021,340
07318,2022,453
07318,2023,388
07318,2024,375
07318,2025,387
07138,2018,1001
07138,2019,931
07138,2020,865
07138,2021,863
07138,2022,912
07138,2023,891
07138,2024,828
07138,2025,805
09180,2018,809
09180,2019,850
09180,2020,744
09180,2021,720
09180,2022,798
09180,2023,758
09180,2024,708
09180,2025,767
03254,2018,1293
03254,2019,1230
03254,2020,1207
03254,2021,1094
03254,2022,1135
03254,2023,1066
03254,2024,1021
03254,2025,1065
09363,2018,241
09363,2019,200
09363,2020,164
09363,2021,159
09363,2022,177
09363,2023,172
09363,2024,168
09363,2025,171
03241,2018,5964
03241,2019,5219
03241,2020,4558
03241,2021,4513
03241,2022,4885
03241,2023,4497
03241,2024,4507
03241,2025,4317
05158,2018,2432
05158,2019,2261
05158,2020,2100
05158,2021,2004
05158,2022,2138
05158,2023,2057
05158,2024,2071
05158,2025,2120
05512,2018,623
05512,2019,618
05512,2020,594
05512,2021,581
05512,2022,625
05512,2023,613
05512,2024,635
05512,2025,595
09472,2018,664
09472,2019,613
09472,2020,558
09472,2021,590
09472,2022,630
09472,2023,570
09472,2024,551
09472,2025,517
09775,2018,794
09775,2019,775
09775,2020,771
09775,2021,714
09775,2022,787
09775,2023,674
09775,2024,663
09775,2025,685
09571,2018,1079
09571,2019,1047
09571,2020,955
09571,2021,1006
09571,2022,1012
09571,2023,927
09571,2024,900
09571,2025,906
08226,2018,2943
08226,2019,2639
08226,2020,2474
08226,2021,2479
08226,2022,2614
08226,2023,2303
08226,2024,2444
08226,2025,2490
05374,2018,1598
05374,2019,1480
05374,2020,1398
05374,2021,1369
05374,2022,1493
05374,2023,1449
05374,2024,1317
05374,2025,1356
03158,2018,729
03158,2019,636
03158,2020,634
03158,2021,526
03158,2022,641
03158,2023,600
03158,2024,587
03158,2025,598
03352,2018,1584
03352,2019,1416
03352,2020,1361
03352,2021,1178
03352,2022,1351
03352,2023,1234
03352,2024,1200
03352,2025,1199
09179,2018,1119
09179,2019,1081
09179,2020,992
09179,2021,942
09179,2022,1052
09179,2023,955
09179,2024,863
09179,2025,814
09376,2018,815
09376,2019,752
09376,2020,706
09376,2021,672
09376,2022,727
09376,2023,652
09376,2024,661
09376,2025,643
09176,2018,730
09176,2019,673
09176,2020,643
09176,2021,601
09176,2022,682
09176,2023,621
09176,2024,572
09176,2025,564
03255,2018,310
03255,2019,272
03255,2020,274
03255,2021,252
03255,2022,298
03255,2023,282
03255,2024,235
03255,2025,274
06633,2018,1033
06633,2019,1013
06633,2020,899
06633,2021,889
06633,2022,983
06633,2023,850
06633,2024,922
06633,2025,873
07314,2018,587
07314,2019,495
07314,2020,362
07314,2021,403
07314,2022,454
07314,2023,392
07314,2024,364
07314,2025,298
09464,2018,209
09464,2019,202
09464,2020,167
09464,2021,152
09464,2022,181
09464,2023,168
09464,2024,178
09464,2025,129
09661,2018,362
09661,2019,365
09661,2020,344
09661,2021,358
09661,2022,367
09661,2023,396
09661,2024,385
09661,2025,389
03454,2018,1634
03454,2019,1566
03454,2020,1440
03454,2021,1383
03454,2022,1546
03454,2023,1517
03454,2024,1415
03454,2025,1352
06433,2018,1143
06433,2019,1011
06433,2020,951
06433,2021,909
06433,2022,1050
06433,2023,1029
06433,2024,954
06433,2025,958
08436,2018,1573
08436,2019,1592
08436,2020,1532
08436,2021,1433
08436,2022,1529
08436,2023,1437
08436,2024,1437
08436,2025,1425
01057,2018,928
01057,2019,936
01057,2020,815
01057,2021,887
01057,2022,918
01057,2023,752
01057,2024,725
01057,2025,772
05334,2018,3105
05334,2019,2838
05334,2020,2608
05334,2021,2434
05334,2022,2733
05334,2023,2541
05334,2024,2563
05334,2025,2573
03151,2018,823
03151,2019,805
03151,2020,693
03151,2021,621
03151,2022,758
03151,2023,709
03151,2024,654
03151,2025,641
01059,2018,1336
01059,2019,1341
01059,2020,1158
01059,2021,1118
01059,2022,1323
01059,2023,1195
01059,2024,1084
01059,2025,1096
05774,2018,1639
05774,2019,1599
05774,2020,1371
05774,2021,1393
05774,2022,1470
05774,2023,1445
05774,2024,1291
05774,2025,1295
05116,2018,1053
05116,2019,1008
05116,2020,856
05116,2021,822
05116,2022,865
05116,2023,851
05116,2024,950
05116,2025,899
08119,2018,2211
08119,2019,2038
08119,2020,1893
08119,2021,1796
08119,2022,2000
08119,2023,1779
08119,2024,1745
08119,2025,1743
09261,2018,380
09261,2019,382
09261,2020,370
09261,2021,336
09261,2022,387
09261,2023,321
09261,2024,328
09261,2025,347
08327,2018,650
08327,2019,644
08327,2020,617
08327,2021,572
08327,2022,577
08327,2023,563
08327,2024,540
08327,2025,535
09771,2018,758
09771,2019,757
09771,2020,650
09771,2021,618
09771,2022,678
09771,2023,608
09771,2024,634
09771,2025,609
09673,2018,408
09673,2019,407
09673,2020,377
09673,2021,365
09673,2022,396
09673,2023,343
09673,2024,341
09673,2025,324
08316,2018,840
08316,2019,850
08316,2020,781
08316,2021,750
08316,2022,832
08316,2023,699
08316,2024,748
08316,2025,738
07141,2018,700
07141,2019,632
07141,2020,590
07141,2021,596
07141,2022,733
07141,2023,591
07141,2024,581
07141,2025,650
01060,2018,1373
01060,2019,1284
01060,2020,1090
01060,2021,1069
01060,2022,1251
01060,2023,1115
01060,2024,1048
01060,2025,1010
09474,2018,645
09474,2019,635
09474,2020,562
09474,2021,530
09474,2022,572
09474,2023,512
09474,2024,521
09474,2025,554
09161,2018,677
09161,2019,607
09161,2020,547
09161,2021,529
09161,2022,567
09161,2023,567
09161,2024,504
09161,2025,523
03252,2018,793
03252,2019,768
03252,2020,686
03252,2021,702
03252,2022,718
03252,2023,668
03252,2024,634
03252,2025,671
09371,2018,548
09371,2019,504
09371,2020,501
09371,2021,546
09371,2022,524
09371,2023,475
09371,2024,495
09371,2025,436
09674,2018,491
09674,2019,442
09674,2020,397
09674,2021,370
09674,2022,377
09674,2023,369
09674,2024,386
09674,2025,378
09780,2018,1362
09780,2019,1306
09780,2020,1137
09780,2021,1089
09780,2022,1236
09780,2023,1178
09780,2024,1097
09780,2025,1082
09171,2018,620
09171,2019,637
09171,2020,559
09171,2021,536
09171,2022,591
09171,2023,539
09171,2024,518
09171,2025,529
09273,2018,684
09273,2019,649
09273,2020,561
09273,2021,564
09273,2022,630
09273,2023,542
09273,2024,536
09273,2025,506
09777,2018,940
09777,2019,926
09777,2020,894
09777,2021,806
09777,2022,907
09777,2023,852
09777,2024,763
09777,2025,773
09479,2018,364
09479,2019,351
09479,2020,318
09479,2021,272
09479,2022,362
09479,2023,298
09479,2024,308
09479,2025,294
05122,2018,852
05122,2019,805
05122,2020,743
05122,2021,744
05122,2022,807
05122,2023,714
05122,2024,702
05122,2025,732
03401,2018,375
03401,2019,358
03401,2020,322
03401,2021,292
03401,2022,315
03401,2023,299
03401,2024,280
03401,2025,286
09764,2018,260
09764,2019,248
09764,2020,214
09764,2021,218
09764,2022,250
09764,2023,242
09764,2024,197
09764,2025,195
09677,2018,717
09677,2019,579
09677,2020,597
09677,2021,540
09677,2022,615
09677,2023,559
09677,2024,478
09677,2025,501
09189,2018,1133
09189,2019,1107
09189,2020,974
09189,2021,917
09189,2022,1070
09189,2023,1015
09189,2024,935
09189,2025,939
05111,2018,3453
05111,2019,3030
05111,2020,2475
05111,2021,2475
05111,2022,2993
05111,2023,2985
05111,2024,2807
05111,2025,3061
05366,2018,1149
05366,2019,1040
05366,2020,896
05366,2021,803
05366,2022,945
05366,2023,934
05366,2024,922
05366,2025,892
05914,2018,882
05914,2019,792
05914,2020,635
05914,2021,629
05914,2022,625
05914,2023,615
05914,2024,599
05914,2025,560
06635,2018,956
06635,2019,884
06635,2020,781
06635,2021,709
06635,2022,886
06635,2023,797
06635,2024,728
06635,2025,681
09461,2018,591
09461,2019,500
09461,2020,444
09461,2021,495
09461,2022,513
09461,2023,488
09461,2024,487
09461,2025,443
05170,2018,2674
05170,2019,2685
05170,2020,2348
05170,2021,2202
05170,2022,2392
05170,2023,2283
05170,2024,2214
05170,2025,2172
09575,2018,566
09575,2019,521
09575,2020,497
09575,2021,453
09575,2022,527
09575,2023,454
09575,2024,436
09575,2025,473
09763,2018,392
09763,2019,323
09763,2020,326
09763,2021,328
09763,2022,354
09763,2023,317
09763,2024,307
09763,2025,332
08235,2018,877
08235,2019,851
08235,2020,932
08235,2021,858
08235,2022,855
08235,2023,780
08235,2024,817
08235,2025,804
09478,2018,359
09478,2019,309
09478,2020,291
09478,2021,286
09478,2022,306
09478,2023,284
09478,2024,248
09478,2025,245
03102,2018,471
03102,2019,437
03102,2020,371
03102,2021,386
03102,2022,359
03102,2023,378
03102,2024,359
03102,2025,319
09375,2018,924
09375,2019,853
09375,2020,768
09375,2021,786
09375,2022,824
09375,2023,815
09375,2024,757
09375,2025,718
09572,2018,814
09572,2019,741
09572,2020,709
09572,2021,636
09572,2022,769
09572,2023,695
09572,2024,627
09572,2025,626
05370,2018,1450
05370,2019,1307
05370,2020,1263
05370,2021,1207
05370,2022,1378
05370,2023,1257
05370,2024,1286
05370,2025,1116
05113,2018,2517
05113,2019,2431
05113,2020,2167
05113,2021,2139
05113,2022,2290
05113,2023,2009
05113,2024,1905
05113,2025,1932
06413,2018,570
06413,2019,481
06413,2020,424
06413,2021,360
06413,2022,408
06413,2023,405
06413,2024,299
06413,2025,302
08337,2018,928
08337,2019,842
08337,2020,844
08337,2021,803
08337,2022,853
08337,2023,754
08337,2024,729
08337,2025,723
06440,2018,1628
06440,2019,1520
06440,2020,1394
06440,2021,1392
06440,2022,1405
06440,2023,1362
06440,2024,1278
06440,2025,1280
03360,2018,433
03360,2019,448
03360,2020,380
03360,2021,361
03360,2022,448
03360,2023,375
03360,2024,352
03360,2025,347
06533,2018,887
06533,2019,890
06533,2020,800
06533,2021,831
06533,2022,810
06533,2023,748
06533,2024,731
06533,2025,679
08222,2018,1412
08222,2019,1235
08222,2020,1073
08222,2021,940
08222,2022,1009
08222,2023,937
08222,2024,723
08222,2025,909
09562,2018,413
09562,2019,494
09562,2020,415
09562,2021,405
09562,2022,416
09562,2023,422
09562,2024,414
09562,2025,416
09184,2018,1865
09184,2019,1763
09184,2020,1622
09184,2021,1515
09184,2022,1528
09184,2023,1468
09184,2024,1459
09184,2025,1451
05966,2018,777
05966,2019,726
05966,2020,659
05966,2021,647
05966,2022,750
05966,2023,627
05966,2024,617
05966,2025,628
05758,2018,1255
05758,2019,1175
05758,2020,1064
05758,2021,1047
05758,2022,1029
05758,2023,1005
05758,2024,963
05758,2025,1011
06435,2018,2648
06435,2019,2405
06435,2020,2057
06435,2021,2291
06435,2022,2363
06435,2023,2254
06435,2024,2229
06435,2025,2443
05570,2018,1403
05570,2019,1426
05570,2020,1309
05570,2021,1218
05570,2022,1466
05570,2023,1219
05570,2024,1220
05570,2025,1229
05362,2018,2697
05362,2019,2351
05362,2020,2036
05362,2021,2046
05362,2022,2242
05362,2023,2077
05362,2024,2049
05362,2025,1915
03355,2018,1424
03355,2019,1402
03355,2020,1315
03355,2021,1269
03355,2022,1341
03355,2023,1295
03355,2024,1165
03355,2025,1179
05566,2018,2408
05566,2019,2295
05566,2020,2022
05566,2021,1971
05566,2022,2318
05566,2023,1967
05566,2024,1986
05566,2025,1938
09362,2018,1153
09362,2019,1083
09362,2020,909
09362,2021,846
09362,2022,1039
09362,2023,983
09362,2024,970
09362,2025,1009
07233,2018,322
07233,2019,292
07233,2020,285
07233,2021,273
07233,2022,266
07233,2023,267
07233,2024,247
07233,2025,237
07339,2018,1323
07339,2019,1186
07339,2020,1119
07339,2021,1081
07339,2022,1176
07339,2023,1105
07339,2024,1021
07339,2025,1060
09776,2018,580
09776,2019,533
09776,2020,473
09776,2021,495
09776,2022,575
09776,2023,493
09776,2024,525
09776,2025,567
05513,2018,1567
05513,2019,1381
05513,2020,1260
05513,2021,1110
05513,2022,1246
05513,2023,1155
05513,2024,1178
05513,2025,1155
08311,2018,1372
08311,2019,1319
08311,2020,1189
08311,2021,1201
08311,2022,1199
08311,2023,1215
08311,2024,1194
08311,2025,1182
09277,2018,556
09277,2019,558
09277,2020,515
09277,2021,564
09277,2022,557
09277,2023,569
09277,2024,483
09277,2025,490
05117,2018,1181
05117,2019,1010
05117,2020,855
05117,2021,802
05117,2022,1086
05117,2023,1047
05117,2024,1021
05117,2025,992
07131,2018,824
07131,2019,744
07131,2020,648
07131,2021,635
07131,2022,724
07131,2023,660
07131,2024,644
07131,2025,636
09274,2018,795
09274,2019,773
09274,2020,688
09274,2021,644
09274,2022,752
09274,2023,674
09274,2024,682
09274,2025,632
07317,2018,159
07317,2019,165
07317,2020,157
07317,2021,165
07317,2022,155
07317,2023,175
07317,2024,139
07317,2025,147
07335,2018,643
07335,2019,579
07335,2020,519
07335,2021,519
07335,2022,548
07335,2023,485
07335,2024,496
07335,2025,465
01004,2018,381
01004,2019,345
01004,2020,342
01004,2021,268
01004,2022,319
01004,2023,296
01004,2024,288
01004,2025,277
08115,2018,1854
08115,2019,1765
08115,2020,1585
08115,2021,1597
08115,2022,1653
08115,2023,1502
08115,2024,1435
08115,2025,1407
06439,2018,1162
06439,2019,1084
06439,2020,1039
06439,2021,997
06439,2022,1082
06439,2023,1025
06439,2024,1057
06439,2025,1061
01053,2018,978
01053,2019,1008
01053,2020,896
01053,2021,811
01053,2022,1041
01053,2023,916
01053,2024,792
01053,2025,826
03462,2018,642
03462,2019,638
03462,2020,512
03462,2021,472
03462,2022,548
03462,2023,504
03462,2024,440
03462,2025,473
05562,2018,2977
05562,2019,2847
05562,2020,2610
05562,2021,2646
05562,2022,2695
05562,2023,2586
05562,2024,2446
05562,2025,2422
03458,2018,737
03458,2019,658
03458,2020,657
03458,2021,607
03458,2022,706
03458,2023,685
03458,2024,644
03458,2025,686
05766,2018,1855
05766,2019,1729
05766,2020,1622
05766,2021,1565
05766,2022,1789
05766,2023,1620
05766,2024,1595
05766,2025,1608
09183,2018,560
09183,2019,554
09183,2020,478
09183,2021,489
09183,2022,568
09183,2023,482
09183,2024,456
09183,2025,462
03405,2018,430
03405,2019,347
03405,2020,271
03405,2021,237
03405,2022,251
03405,2023,276
03405,2024,253
03405,2025,247
09576,2018,770
09576,2019,703
09576,2020,690
09576,2021,615
09576,2022,693
09576,2023,650
09576,2024,688
09576,2025,635
03257,2018,887
03257,2019,842
03257,2020,843
03257,2021,779
03257,2022,849
03257,2023,707
03257,2024,726
03257,2025,759
08426,2018,1080
08426,2019,1023
08426,2020,955
08426,2021,941
08426,2022,952
08426,2023,896
08426,2024,904
08426,2025,888
06434,2018,1448
06434,2019,1277
06434,2020,1083
06434,2021,1051
06434,2022,1117
06434,2023,1044
06434,2024,1046
06434,2025,1099
09563,2018,709
09563,2019,654
09563,2020,586
09563,2021,508
09563,2022,514
09563,2023,489
09563,2024,496
09563,2025,487
05762,2018,733
05762,2019,767
05762,2020,705
05762,2021,678
05762,2022,798
05762,2023,746
05762,2024,650
05762,2025,610
01061,2018,681
01061,2019,732
01061,2020,628
01061,2021,642
01061,2022,790
01061,2023,714
01061,2024,605
01061,2025,643
06631,2018,1223
06631,2019,1077
06631,2020,1132
06631,2021,1024
06631,2022,1110
06631,2023,986
06631,2024,999
06631,2025,1025
09188,2018,1017
09188,2019,931
09188,2020,763
09188,2021,812
09188,2022,843
09188,2023,749
09188,2024,717
09188,2025,669
08417,2018,953
08417,2019,921
08417,2020,844
08417,2021,899
08417,2022,916
08417,2023,826
08417,2024,780
08417,2025,751
09361,2018,208
09361,2019,225
09361,2020,212
09361,2021,189
09361,2022,201
09361,2023,194
09361,2024,198
09361,2025,167
08128,2018,722
08128,2019,631
08128,2020,616
08128,2021,577
08128,2022,657
08128,2023,585
08128,2024,624
08128,2025,583
09473,2018,390
09473,2019,338
09473,2020,264
09473,2021,260
09473,2022,296
09473,2023,240
09473,2024,230
09473,2025,217
09374,2018,520
09374,2019,507
09374,2020,472
09374,2021,525
09374,2022,506
09374,2023,452
09374,2024,427
09374,2025,431
03351,2018,1172
03351,2019,1110
03351,2020,1012
03351,2021,929
03351,2022,1049
03351,2023,970
03351,2024,959
03351,2025,956
05112,2018,1895
05112,2019,1538
05112,2020,1288
05112,2021,1280
05112,2022,1330
05112,2023,1336
05112,2024,1247
05112,2025,1301
01001,2018,547
01001,2019,556
01001,2020,487
01001,2021,526
01001,2022,580
01001,2023,505
01001,2024,497
01001,2025,484
07134,2018,400
07134,2019,371
07134,2020,341
07134,2021,307
07134,2022,360
07134,2023,354
07134,2024,309
07134,2025,291
09678,2018,425
09678,2019,411
09678,2020,420
09678,2021,404
09678,2022,429
09678,2023,395
09678,2024,345
09678,2025,306
09175,2018,691
09175,2019,670
09175,2020,602
09175,2021,543
09175,2022,667
09175,2023,594
09175,2024,532
09175,2025,529
05954,2018,2361
05954,2019,2162
05954,2020,1780
05954,2021,1573
05954,2022,1777
05954,2023,1774
05954,2024,1739
05954,2025,1669
05166,2018,1772
05166,2019,1658
05166,2020,1389
05166,2021,1390
05166,2022,1624
05166,2023,1507
05166,2024,1484
05166,2025,1407
08221,2018,1133
08221,2019,1025
08221,2020,941
08221,2021,932
08221,2022,1006
08221,2023,906
08221,2024,1001
08221,2025,960
09162,2018,5988
09162,2019,5285
09162,2020,4483
09162,2021,4565
09162,2022,4671
09162,2023,4775
09162,2024,4767
09162,2025,4875
03453,2018,821
03453,2019,790
03453,2020,733
03453,2021,765
03453,2022,800
03453,2023,728
03453,2024,644
03453,2025,652
03155,2018,708
03155,2019,752
03155,2020,692
03155,2021,610
03155,2022,655
03155,2023,605
03155,2024,633
03155,2025,626
09772,2018,1444
09772,2019,1294
09772,2020,1264
09772,2021,1198
09772,2022,1326
09772,2023,1172
09772,2024,1166
09772,2025,1086
07143,2018,994
07143,2019,981
07143,2020,831
07143,2021,866
07143,2022,911
07143,2023,817
07143,2024,748
07143,2025,813
08212,2018,1717
08212,2019,1548
08212,2020,1381
08212,2021,1284
08212,2022,1449
08212,2023,1286
08212,2024,1320
08212,2025,1300
07334,2018,629
07334,2019,602
07334,2020,515
07334,2021,502
07334,2022,518
07334,2023,463
07334,2024,465
07334,2025,456
08127,2018,1054
08127,2019,1008
08127,2020,950
08127,2021,937
08127,2022,929
08127,2023,905
08127,2024,898
08127,2025,906
08225,2018,658
08225,2019,701
08225,2020,587
08225,2021,598
08225,2022,690
08225,2023,588
08225,2024,592
08225,2025,563
01062,2018,1262
01062,2019,1242
01062,2020,1088
01062,2021,888
01062,2022,987
01062,2023,1018
01062,2024,950
01062,2025,968
09182,2018,1472
09182,2019,1374
09182,2020,1271
09182,2021,1260
09182,2022,1392
09182,2023,1387
09182,2024,1293
09182,2025,1251
09577,2018,549
09577,2019,514
09577,2020,466
09577,2021,451
09577,2022,510
09577,2023,452
09577,2024,425
09577,2025,420
08425,2018,975
08425,2019,890
08425,2020,867
08425,2021,843
08425,2022,930
08425,2023,784
08425,2024,768
08425,2025,770
09564,2018,2724
09564,2019,2505
09564,2020,1977
09564,2021,1851
09564,2022,2011
09564,2023,1948
09564,2024,2076
09564,2025,1974
09671,2018,1004
09671,2019,959
09671,2020,850
09671,2021,769
09671,2022,805
09671,2023,774
09671,2024,715
09671,2025,765
09373,2018,773
09373,2019,724
09373,2020,649
09373,2021,629
09373,2022,706
09373,2023,691
09373,2024,682
09373,2025,653
05162,2018,2561
05162,2019,2478
05162,2020,2177
05162,2021,2110
05162,2022,2392
05162,2023,2096
05162,2024,2023
05162,2025,2020
06636,2018,567
06636,2019,527
06636,2020,461
06636,2021,434
06636,2022,540
06636,2023,432
06636,2024,455
06636,2025,427
06431,2018,1482
06431,2019,1332
06431,2020,1223
06431,2021,1179
06431,2022,1239
06431,2023,1214
06431,2024,1199
06431,2025,1143
05558,2018,1675
05558,2019,1619
05558,2020,1505
05558,2021,1497
05558,2022,1692
05558,2023,1515
05558,2024,1478
05558,2025,1463
04011,2018,2960
04011,2019,2702
04011,2020,2371
04011,2021,2133
04011,2022,2255
04011,2023,2014
04011,2024,2013
04011,2025,1964
07331,2018,800
07331,2019,690
07331,2020,683
07331,2021,675
07331,2022,759
07331,2023,670
07331,2024,654
07331,2025,614
07211,2018,698
07211,2019,626
07211,2020,578
07211,2021,639
07211,2022,680
07211,2023,583
07211,2024,572
07211,2025,505
08231,2018,477
08231,2019,467
08231,2020,395
08231,2021,378
08231,2022,385
08231,2023,370
08231,2024,347
08231,2025,342
08111,2018,3266
08111,2019,2963
08111,2020,2436
08111,2021,2397
08111,2022,2502
08111,2023,2511
08111,2024,2296
08111,2025,2349
04012,2018,400
04012,2019,415
04012,2020,394
04012,2021,306
04012,2022,387
04012,2023,333
04012,2024,283
04012,2025,182
08315,2018,1568
08315,2019,1411
08315,2020,1352
08315,2021,1387
08315,2022,1420
08315,2023,1175
08315,2024,1209
08315,2025,1231
08435,2018,1340
08435,2019,1263
08435,2020,1199
08435,2021,1082
08435,2022,1282
08435,2023,1168
08435,2024,1092
08435,2025,1198
07140,2018,565
07140,2019,514
07140,2020,496
07140,2021,499
07140,2022,568
07140,2023,510
07140,2024,474
07140,2025,482
