ags,year,pct_no_hauptschulabschluss
12063,2022,5.8
12063,2023,6.8
12063,2024,7.5
12064,2006,10.3
12064,2007,10.9
12064,2008,10
12064,2009,7.8
12064,2010,9.2
12064,2011,8.5
12064,2012,7.5
12064,2013,8.7
12064,2014,7
12064,2015,9.1
12064,2016,7.9
12064,2017,7.3
12064,2018,8.4
12064,2019,8.9
12064,2020,5.5
12064,2021,6.4
12064,2022,6.7
12064,2023,7.7
12064,2024,8.4
12065,2006,8.4
12065,2007,7.3
12065,2008,8.8
12065,2009,7.8
12065,2010,7.5
12065,2011,9.4
12065,2012,6.1
12065,2013,6.9
12065,2014,7.3
12065,2015,6.3
12065,2016,7.3
12065,2017,7
12065,2018,5.8
12065,2019,7
12065,2020,4.5
12065,2021,6.1
12065,2022,5.2
12065,2023,7.6
12065,2024,7.2
12066,2006,11.4
12066,2007,9.6
12066,2008,11
12066,2009,10.4
12066,2010,12.6
12066,2011,10.1
12066,2012,9.3
12066,2013,8.9
12066,2014,10.3
12066,2015,9.4
12066,2016,10.1
12066,2017,8.7
12066,2018,8.2
12066,2019,9.9
12066,2020,6
12066,2021,11.5
12066,2022,11.8
12066,2023,10.6
12066,2024,12.5
12067,2006,11.5
12067,2007,12.1
12067,2008,12.5
12067,2009,11.4
12067,2010,9.7
12067,2011,9.8
12067,2012,8.7
12067,2013,10.1
12067,2014,9.7
12067,2015,9.5
12067,2016,8.8
12067,2017,8.8
12067,2018,10
12067,2019,9
12067,2020,6.8
12067,2021,7.5
12067,2022,9.8
12067,2023,8.6
12067,2024,7.4
12068,2006,11.4
12068,2007,11.7
12068,2008,11.7
12068,2009,8.3
12068,2010,10.6
12068,2011,11.4
12068,2012,8.1
12068,2013,8.7
12068,2014,8.4
12068,2015,8.6
12068,2016,10
12068,2017,9.7
12068,2018,8.8
12068,2019,10.4
12068,2020,5.9
12068,2021,7.5
12068,2022,9.7
12068,2023,10.4
12068,2024,12.6
12069,2006,9.6
12069,2007,9
12069,2008,9.3
12069,2009,6.7
12069,2010,6.7
12069,2011,6.2
12069,2012,5.6
12069,2013,5.5
12069,2014,5.8
12069,2015,5.5
12069,2016,5.2
12069,2017,5
12069,2018,3.2
12069,2019,4.3
12069,2020,4
12069,2021,3.4
12069,2022,5.2
12069,2023,5.1
12069,2024,5.2
12070,2006,14.1
12070,2007,12.1
12070,2008,12.8
12070,2009,10.8
12070,2010,13.7
12070,2011,13.3
12070,2012,12.3
12070,2013,12.2
12070,2014,8.6
12070,2015,11.8
12070,2016,14.2
12070,2017,10.6
12070,2018,12.4
12070,2019,14.4
12070,2020,12.8
12070,2021,12.5
12070,2022,13.3
12070,2023,13.9
12070,2024,15.5
12071,2006,9.3
12071,2007,7
12071,2008,8.4
12071,2009,6.2
12071,2010,5.8
12071,2011,7.5
12071,2012,5.9
12071,2013,8.4
12071,2014,11.2
12071,2015,7.4
12071,2016,6.4
12071,2017,7.6
12071,2018,10
12071,2019,9.9
12071,2020,6.6
12071,2021,7.7
12071,2022,8.5
12071,2023,9.6
12071,2024,9.4
12072,2006,12.1
12072,2007,10.9
12072,2008,10
12072,2009,9.7
12072,2010,9.7
12072,2011,10.7
12072,2012,7.5
12072,2013,9.5
12072,2014,9.9
12072,2015,8.3
12072,2016,8.2
12072,2017,9
12072,2018,8.1
12072,2019,8
12072,2020,5.4
12072,2021,9.4
12072,2022,7.8
12072,2023,8
12072,2024,9.5
12073,2006,12.2
12073,2007,12.5
12073,2008,11.7
12073,2009,10.9
12073,2010,10.6
12073,2011,13.7
12073,2012,10
12073,2013,11.8
12073,2014,12.9
12073,2015,11
12073,2016,11.6
12073,2017,11.1
12073,2018,11
12073,2019,10.4
