ags,year,registrations_per_10k
12067,2012,65.9
12067,2013,67.3
12067,2014,68.7
12067,2015,58.7
12067,2016,55.5
12067,2017,54.9
12067,2018,56.1
12067,2019,59.9
12067,2020,55.9
12067,2021,59.3
12067,2022,58.6
12067,2023,60.2
12067,2024,54.5
12067,2025,67.2
12068,2008,65.9
12068,2009,74
12068,2010,64.9
12068,2011,67.8
12068,2012,48
12068,2013,50.6
12068,2014,51.5
12068,2015,49.2
12068,2016,49.5
12068,2017,50.2
12068,2018,51
12068,2019,51.7
12068,2020,48.4
12068,2021,56.2
12068,2022,48.6
12068,2023,58
12068,2024,49.6
12068,2025,62.7
12069,2008,97.2
12069,2009,103
12069,2010,96.7
12069,2011,91.4
12069,2012,81.7
12069,2013,75
12069,2014,84.3
12069,2015,77.4
12069,2016,75.5
12069,2017,79.4
12069,2018,80.3
12069,2019,72.6
12069,2020,75.9
12069,2021,79.6
12069,2022,82.9
12069,2023,72.3
12069,2024,74.5
12069,2025,81.8
12070,2008,71.9
12070,2009,80.8
12070,2010,61.4
12070,2011,58.5
12070,2012,42.7
12070,2013,59.2
12070,2014,48.1
12070,2015,46.2
12070,2016,47
12070,2017,48.2
12070,2018,49.9
12070,2019,50.3
12070,2020,48.2
12070,2021,49.1
12070,2022,51.3
12070,2023,55.1
12070,2024,50.3
12070,2025,53.3
12071,2008,80.4
12071,2009,79.9
12071,2010,74.9
12071,2011,68
12071,2012,59
12071,2013,58.6
12071,2014,53.7
12071,2015,53.9
12071,2016,56.3
12071,2017,55.6
12071,2018,51
12071,2019,53.6
12071,2020,43
12071,2021,50.1
12071,2022,53.9
12071,2023,53.7
12071,2024,54.6
12071,2025,54.8
12072,2008,93.9
12072,2009,87.5
12072,2010,98.9
12072,2011,89.5
12072,2012,81
12072,2013,83.5
12072,2014,74.7
12072,2015,78.5
12072,2016,84.8
12072,2017,80.7
12072,2018,90.9
12072,2019,103.9
12072,2020,104.8
12072,2021,116.1
12072,2022,106.2
12072,2023,102.8
12072,2024,104.4
12072,2025,133.6
12073,2008,60.3
12073,2009,63.6
12073,2010,61.6
12073,2011,58.4
12073,2012,49.6
12073,2013,53.2
12073,2014,52.3
12073,2015,48.5
12073,2016,45.1
12073,2017,44
12073,2018,45.5
12073,2019,47.6
12073,2020,46.4
12073,2021,47.3
12073,2022,46.8
12073,2023,45.6
12073,2024,40.9
12073,2025,49.9
13001,2008,68.3
13001,2009,75.3
13001,2010,76.5
13002,2008,74.5
13002,2009,76.8
13002,2010,65.8
13003,2008,98.6
13003,2009,92.2
13003,2010,98.8
13003,2011,102.7
13003,2012,80.9
13003,2013,89.6
13003,2014,77.2
13003,2015,73.6
13003,2016,65.3
13003,2017,69.1
13003,2018,60.2
13003,2019,61.9
13003,2020,64.1
13003,2021,66
13003,2022,61.5
13003,2023,62.3
13003,2024,64.1
13003,2025,65.6
13004,2008,106.3
13004,2009,85.8
13004,2010,93.4
13004,2011,95.9
13004,2012,78.2
13004,2013,80.9
13004,2014,74.7
13004,2015,76.6
13004,2016,65.2
13004,2017,56.2
13004,2018,61
13004,2019,57
13004,2020,47.5
13004,2021,50.9
13004,2022,56.6
13004,2023,61.8
13004,2024,61.7
13004,2025,62.6
13005,2008,78.8
13005,2009,69.3
13005,2010,72.5
13006,2008,63.1
13006,2009,76.9
13006,2010,73.7
13051,2008,111.5
13051,2009,111.9
13051,2010,99.5
13052,2008,50.2
13052,2009,52.9
13052,2010,49.6
13053,2008,65.3
13053,2009,71.7
13053,2010,75.5
13054,2008,68.4
13054,2009,71.1
13054,2010,61.3
13055,2008,64
13055,2009,65.8
13055,2010,66
13056,2008,79.3
13056,2009,74
13056,2010,78.9
13057,2008,77.1
13057,2009,73.2
13057,2010,72.1
13058,2008,100.9
13058,2009,83.4
13058,2010,72.9
13059,2008,77.6
13059,2009,69.3
13059,2010,61.8
13060,2008,72.5
13060,2009,63.2
13060,2010,67.7
13061,2008,100.8
13061,2009,90.9
13061,2010,78.7
13062,2008,65.7
13062,2009,69.6
13062,2010,55.6
13071,2012,55
13071,2013,54.4
13071,2014,51.9
13071,2015,48.9
13071,2016,47.2
13071,2017,41
13071,2018,44.9
13071,2019,47.4
13071,2020,43.6
13071,2021,49
13071,2022,51
13071,2023,54.4
13071,2024,54.7
13071,2025,60.6
13072,2012,76.4
13072,2013,75.1
13072,2014,71
13072,2015,66.9
13072,2016,64.4
13072,2017,66.9
13072,2018,65.9
13072,2019,67.1
13072,2020,62.8
13072,2021,63.4
13072,2022,70.9
13072,2023,73
13072,2024,70.2
13072,2025,72.1
13073,2012,67.4
13073,2013,67.5
13073,2014,68.9
13073,2015,61.7
13073,2016,68
13073,2017,61.1
13073,2018,56.6
13073,2019,65.2
13073,2020,62.1
13073,2021,64.8
13073,2022,65.9
13073,2023,68.4
13073,2024,67.5
13073,2025,66.7
13074,2012,63.2
13074,2013,66.5
13074,2014,60.6
13074,2015,61
13074,2016,57.7
13074,2017,55.4
13074,2018,56.5
13074,2019,55.7
13074,2020,53.5
13074,2021,59.7
13074,2022,58.3
13074,2023,66.8
13074,2024,59.7
13074,2025,59.3
13075,2012,58.1
13075,2013,57
13075,2014,54.6
13075,2015,54.1
13075,2016,48.7
13075,2017,51.4
13075,2018,47.2
13075,2019,48.7
13075,2020,44.9
13075,2021,49.7
13075,2022,52
13075,2023,55.8
13075,2024,57.6
13075,2025,60.3
13076,2012,59.2
13076,2013,57.5
13076,2014,55
13076,2015,53.2
13076,2016,54.8
13076,2017,50.4
13076,2018,47.7
13076,2019,49.5
13076,2020,47.6
13076,2021,53.8
13076,2022,47.7
13076,2023,57.8
13076,2024,57
13076,2025,59.7
14511,2008,89
14511,2009,91.4
14511,2010,93.9
14511,2011,85.9
14511,2012,77.7
14511,2013,74.7
14511,2014,68
14511,2015,66.8
14511,2016,61.3
14511,2017,58.8
14511,2018,62.2
14511,2019,63.8
14511,2020,54.7
14511,2021,61.2
14511,2022,62.3
14511,2023,64.9
14511,2024,71.6
14511,2025,83.4
14521,2008,69.5
14521,2009,68
14521,2010,66
14521,2011,63.8
14521,2012,53.2
14521,2013,49.6
14521,2014,46.7
14521,2015,44.5
14521,2016,43.7
14521,2017,43.4
14521,2018,43
14521,2019,42.8
14521,2020,44.9
14521,2021,44.3
14521,2022,45.7
14521,2023,43.3
14521,2024,45.5
14521,2025,50.9
14522,2008,71.9
14522,2009,68.5
14522,2010,68.8
14522,2011,65
14522,2012,60.5
14522,2013,54.2
14522,2014,53.1
14522,2015,49.1
14522,2016,49
14522,2017,48.2
14522,2018,44.6
14522,2019,45.8
14522,2020,48.8
14522,2021,47.5
14522,2022,51.4
14522,2023,52
14522,2024,51.3
14522,2025,56
14523,2008,72.6
14523,2009,69.8
14523,2010,73.9
14523,2011,63.3
14523,2012,58.7
14523,2013,56.3
14523,2014,49.8
14523,2015,51.6
14523,2016,46.6
14523,2017,47.5
14523,2018,49.7
14523,2019,50.2
14523,2020,46.2
14523,2021,50.8
14523,2022,49.7
14523,2023,48.7
14523,2024,51.3
14523,2025,57.6
14524,2008,77.6
14524,2009,73.9
14524,2010,67
14524,2011,66.8
14524,2012,54.6
14524,2013,53.1
14524,2014,50.6
14524,2015,49.6
14524,2016,47
14524,2017,45.7
14524,2018,43
14524,2019,45.3
14524,2020,44.5
14524,2021,46.4
14524,2022,46.9
14524,2023,46.7
14524,2024,51.6
14524,2025,58.8
14612,2008,108.2
14612,2009,117.9
14612,2010,118.1
14612,2011,117.6
14612,2012,100.4
14612,2013,97.6
14612,2014,94.2
14612,2015,89.9
14612,2016,80.6
14612,2017,75.1
14612,2018,71.1
14612,2019,71.2
14612,2020,64.1
14612,2021,65.4
14612,2022,63.4
14612,2023,66.5
14612,2024,66.3
14612,2025,73.7
14625,2008,66.2
14625,2009,63.6
14625,2010,63
14625,2011,58.9
14625,2012,51.2
14625,2013,53.6
14625,2014,49.2
14625,2015,45.6
14625,2016,45.9
14625,2017,43.1
14625,2018,43.3
14625,2019,40
14625,2020,44.7
14625,2021,45.5
14625,2022,47.1
14625,2023,48.1
14625,2024,50.1
14625,2025,54
14626,2008,93.2
14626,2009,91.9
14626,2010,79.7
14626,2011,79.4
14626,2012,82.6
14626,2013,87.5
14626,2014,86.5
14626,2015,99.2
14626,2016,94.6
14626,2017,97.7
14626,2018,106.9
14626,2019,99.2
14626,2020,90.6
14626,2021,83.2
14626,2022,79.1
14626,2023,80.8
14626,2024,72.6
14626,2025,75.1
14627,2008,82.8
14627,2009,76.7
14627,2010,75.8
14627,2011,77.3
14627,2012,63.7
14627,2013,68.5
14627,2014,64
14627,2015,63.8
14627,2016,54.1
14627,2017,54.2
14627,2018,48.7
14627,2019,51.9
14627,2020,55.7
14627,2021,57
14627,2022,50.4
14627,2023,55.3
14627,2024,52.2
14627,2025,59.7
14628,2008,81.7
14628,2009,75.7
14628,2010,75.9
14628,2011,74.9
14628,2012,61.7
14628,2013,61.1
14628,2014,58.4
14628,2015,57.9
14628,2016,55.4
14628,2017,55.7
14628,2018,54.5
14628,2019,56.7
14628,2020,53.3
14628,2021,55.4
14628,2022,58
14628,2023,57.7
14628,2024,59
14628,2025,64.4
14713,2008,124.3
14713,2009,116
14713,2010,123.1
14713,2011,130.2
14713,2012,122.5
14713,2013,105.4
14713,2014,103.5
14713,2015,104
14713,2016,99.6
14713,2017,91.8
14713,2018,88.9
14713,2019,88.9
14713,2020,83.5
14713,2021,86.8
14713,2022,87.6
14713,2023,84.4
14713,2024,81.4
14713,2025,86.8
14729,2008,84.9
14729,2009,81.5
14729,2010,84.3
14729,2011,80.7
14729,2012,63.5
14729,2013,63.6
14729,2014,63.7
14729,2015,55.7
14729,2016,55.7
14729,2017,52.8
14729,2018,56.7
14729,2019,54.5
14729,2020,53.7
14729,2021,54.4
14729,2022,55.3
14729,2023,61
14729,2024,58.5
14729,2025,61.6
14730,2008,86.4
14730,2009,83
14730,2010,81.1
14730,2011,75.1
14730,2012,67.9
14730,2013,57.7
14730,2014,57.7
14730,2015,52.3
14730,2016,50.5
14730,2017,53.7
14730,2018,52.8
14730,2019,50.1
14730,2020,52.6
14730,2021,53.7
14730,2022,47.3
14730,2023,53.7
14730,2024,52.4
14730,2025,58.8
15001,2008,66.2
15001,2009,72.1
15001,2010,65.3
15001,2011,57.3
15001,2012,51.6
15001,2013,51.2
15001,2014,50
15001,2015,46.2
15001,2016,45.8
15001,2017,40
15001,2018,38.1
15001,2019,39.9
15001,2020,31.9
15001,2021,35.8
15001,2022,36.4
15001,2023,47.7
15001,2024,44.9
15001,2025,47.9
15002,2008,71.5
15002,2009,73.3
15002,2010,74.4
15002,2011,73.4
15002,2012,69.1
15002,2013,69.8
15002,2014,67.8
15002,2015,62.5
15002,2016,53.5
15002,2017,54.7
15002,2018,53.1
15002,2019,49.3
15002,2020,45.4
15002,2021,48.6
15002,2022,50.1
15002,2023,53
15002,2024,55.3
15002,2025,63
15003,2008,91.5
15003,2009,92.8
15003,2010,88.6
15003,2011,84.2
15003,2012,76.7
15003,2013,75.9
15003,2014,77.7
15003,2015,77.2
15003,2016,69.7
15003,2017,63.3
15003,2018,52.7
15003,2019,53
15003,2020,53.3
15003,2021,56.6
15003,2022,57.2
15003,2023,53.4
15003,2024,56.2
15003,2025,62.3
15081,2008,51.1
15081,2009,58
15081,2010,63
15081,2011,55.1
15081,2012,43.8
15081,2013,39.7
15081,2014,38.6
15081,2015,39.4
15081,2016,41.4
15081,2017,41.1
15081,2018,43.8
15081,2019,47.7
15081,2020,45.1
15081,2021,46.4
15081,2022,42.7
15081,2023,48.6
15081,2024,41.9
15081,2025,52.6
15082,2008,54.5
15082,2009,62.9
15082,2010,60.7
15082,2011,55.2
15082,2012,49.3
15082,2013,46.6
15082,2014,46.8
15082,2015,49.2
15082,2016,52.3
15082,2017,48.6
15082,2018,44.2
15082,2019,50.6
15082,2020,38.1
15082,2021,45.5
15082,2022,45.2
15082,2023,44.1
15082,2024,48.6
15082,2025,51.8
15083,2008,66.9
15083,2009,62.2
15083,2010,66.4
15083,2011,50.4
15083,2012,46.7
15083,2013,48.8
15083,2014,50.5
15083,2015,46.3
15083,2016,43.6
15083,2017,44.9
15083,2018,43.9
15083,2019,47.1
15083,2020,41.6
15083,2021,43.9
15083,2022,48.7
15083,2023,51.1
15083,2024,49.2
15083,2025,52
15084,2008,64.1
15084,2009,62.2
15084,2010,61.6
15084,2011,51.5
15084,2012,47.9
15084,2013,44
15084,2014,45.7
15084,2015,41.7
15084,2016,41.1
15084,2017,42.8
15084,2018,39.2
15084,2019,41.9
15084,2020,38
15084,2021,43
15084,2022,46.2
15084,2023,44.8
15084,2024,48
15084,2025,48.4
15085,2008,57.7
15085,2009,57.6
15085,2010,67.6
15085,2011,57.8
15085,2012,52.8
15085,2013,52.1
15085,2014,49.8
15085,2015,44.4
15085,2016,41.7
15085,2017,40.5
15085,2018,41
15085,2019,43
15085,2020,38.6
15085,2021,42.5
15085,2022,44.7
15085,2023,46.7
15085,2024,45.7
15085,2025,53.1
15086,2008,62.2
15086,2009,65.7
15086,2010,63
15086,2011,72
15086,2012,58
15086,2013,56.1
15086,2014,55.1
15086,2015,57.1
15086,2016,61.2
15086,2017,51.3
15086,2018,56.5
15086,2019,52.1
15086,2020,48.5
15086,2021,60.4
15086,2022,54.4
15086,2023,51
15086,2024,56.4
15086,2025,52.7
15087,2008,58.3
15087,2009,64.7
15087,2010,58.2
15087,2011,54.1
15087,2012,49.4
15087,2013,48.2
15087,2014,39.1
15087,2015,42.1
15087,2016,39.3
15087,2017,42.6
15087,2018,43.7
15087,2019,42.6
15087,2020,40.1
15087,2021,41.7
15087,2022,44.7
15087,2023,46.5
15087,2024,44.3
15087,2025,47.2
15088,2008,68.5
15088,2009,71.8
15088,2010,62.1
15088,2011,59
15088,2012,53.7
15088,2013,47.4
15088,2014,46.5
15088,2015,45.3
15088,2016,45.7
15088,2017,45.3
15088,2018,43.5
15088,2019,46.7
15088,2020,40.7
15088,2021,47.2
15088,2022,43.9
15088,2023,48.3
15088,2024,44.9
15088,2025,53.5
15089,2008,57
15089,2009,57.7
15089,2010,53.5
15089,2011,53.9
15089,2012,48.3
15089,2013,42.8
15089,2014,46.6
15089,2015,44.4
15089,2016,40.8
15089,2017,38.1
15089,2018,37.8
15089,2019,37.8
15089,2020,39.3
15089,2021,40
15089,2022,39.3
15089,2023,43
15089,2024,43.8
15089,2025,46.1
15090,2008,50.3
15090,2009,53.1
15090,2010,53.8
15090,2011,43.8
15090,2012,41.4
15090,2013,40
15090,2014,42.5
15090,2015,37.1
15090,2016,37
15090,2017,41.1
15090,2018,36.2
15090,2019,37
15090,2020,35.6
15090,2021,41
15090,2022,44
15090,2023,44.2
15090,2024,47.8
15090,2025,52.5
15091,2008,69.7
15091,2009,74.2
15091,2010,65.2
15091,2011,59.6
15091,2012,56.8
15091,2013,43.9
15091,2014,45.4
15091,2015,43.8
15091,2016,41
15091,2017,43.4
15091,2018,41.4
15091,2019,39.8
15091,2020,36
15091,2021,41.5
15091,2022,46.8
15091,2023,40.5
15091,2024,48
15091,2025,51.9
16051,2008,94.4
16051,2009,93.6
16051,2010,101.9
16051,2011,99.9
16051,2012,92.4
16051,2013,86.8
16051,2014,81.9
16051,2015,72
16051,2016,69.4
16051,2017,69.2
16051,2018,67.8
16051,2019,68.5
16051,2020,61.9
16051,2021,67
16051,2022,63.7
16051,2023,71.2
16051,2024,68.7
16051,2025,69.5
16052,2008,82.3
16052,2009,82.5
16052,2010,82.5
16052,2011,69.7
16052,2012,70.4
16052,2013,74.3
16052,2014,55.4
16052,2015,54.9
16052,2016,48.6
16052,2017,42.9
16052,2018,47.2
16052,2019,43.3
16052,2020,43.2
16052,2021,47.5
16052,2022,44.8
16052,2023,50.1
16052,2024,46.8
16052,2025,47.4
16053,2008,98
16053,2009,95.2
16053,2010,85.1
16053,2011,79.2
16053,2012,73.1
16053,2013,75
16053,2014,69.9
16053,2015,69
16053,2016,67.2
16053,2017,56.3
16053,2018,57.4
16053,2019,52.1
16053,2020,51.3
16053,2021,54.7
16053,2022,47.7
16053,2023,49.2
16053,2024,45.2
16053,2025,56.7
16054,2008,83.1
16054,2009,83.9
16054,2010,69
16054,2011,73.3
16054,2012,77.2
16054,2013,94.4
16054,2014,68.5
16054,2015,60.6
16054,2016,61.9
16054,2017,49.7
16054,2018,46
16054,2019,45.8
16054,2020,39.6
16054,2021,46.4
16054,2022,46.2
16054,2023,47.1
16054,2024,49.3
16054,2025,55.3
16055,2008,95.2
16055,2009,90.8
16055,2010,88.9
16055,2011,83.7
16055,2012,74.8
16055,2013,76.6
16055,2014,66.3
16055,2015,72.6
16055,2016,65.8
16055,2017,64.3
16055,2018,65.3
16055,2019,67.1
16055,2020,58.8
16055,2021,57.4
16055,2022,57.3
16055,2023,56.9
16055,2024,52
16055,2025,59
16056,2008,80.4
16056,2009,84.1
16056,2010,72.3
16056,2011,71.4
16056,2012,67.6
16056,2013,67.5
16056,2014,58
16056,2015,63.6
16056,2016,62.6
16056,2017,50.2
16056,2018,56.9
16056,2019,59.3
16056,2020,50.1
16061,2008,67.7
16061,2009,64.7
16061,2010,67.7
16061,2011,59.1
16061,2012,53
16061,2013,52.7
16061,2014,51
16061,2015,43.5
16061,2016,44.4
16061,2017,45.2
16061,2018,44.2
16061,2019,44.1
16061,2020,42.9
16061,2021,44.5
16061,2022,45.8
16061,2023,41.3
16061,2024,49
16061,2025,50.7
16062,2008,62.4
16062,2009,66.7
16062,2010,59.1
16062,2011,58.2
16062,2012,48.8
16062,2013,50.9
16062,2014,46
16062,2015,44.5
16062,2016,37.8
16062,2017,40
16062,2018,38.1
16062,2019,42.2
16062,2020,37.7
16062,2021,37.3
16062,2022,42.4
16062,2023,45.8
16062,2024,50.5
16062,2025,57.1
16063,2008,49.9
16063,2009,52.2
16063,2010,50.9
16063,2011,47.7
16063,2012,41
16063,2013,47.1
16063,2014,42.1
16063,2015,42.1
16063,2016,36.3
16063,2017,39.4
16063,2018,36.1
16063,2019,40.5
16063,2020,33.5
16063,2021,26.3
16063,2022,41.1
16063,2023,44.2
16063,2024,47.2
16063,2025,46.8
16064,2008,61.5
16064,2009,62.5
16064,2010,62.3
16064,2011,56.3
16064,2012,48.9
16064,2013,51.7
16064,2014,46.4
16064,2015,46.1
16064,2016,45.1
16064,2017,41.9
16064,2018,39.2
16064,2019,44.2
16064,2020,42.9
16064,2021,43.7
16064,2022,37.5
16064,2023,46.6
16064,2024,46
16064,2025,50.1
16065,2008,66.7
16065,2009,64.9
16065,2010,58.3
16065,2011,52.8
16065,2012,41.2
16065,2013,45.7
16065,2014,41.2
16065,2015,38
16065,2016,36.9
16065,2017,36.6
16065,2018,34.2
16065,2019,33.8
16065,2020,27.1
16065,2021,32.8
16065,2022,34.3
16065,2023,40.5
16065,2024,37.7
16065,2025,40
16066,2008,67.6
16066,2009,72.1
16066,2010,74.3
16066,2011,66
16066,2012,54.6
16066,2013,57.6
16066,2014,53.6
16066,2015,48.1
16066,2016,46.2
16066,2017,47.6
16066,2018,50.3
16066,2019,47.8
16066,2020,46.4
16066,2021,51.4
16066,2022,51.5
16066,2023,46.1
16066,2024,52.1
16066,2025,55
16067,2008,62.7
16067,2009,67.9
16067,2010,68.3
16067,2011,58.2
16067,2012,49.2
16067,2013,48.9
16067,2014,49.5
16067,2015,48
16067,2016,43.3
16067,2017,40.4
16067,2018,46.4
16067,2019,42.2
16067,2020,45.1
16067,2021,41.5
16067,2022,45.2
16067,2023,46.6
16067,2024,44.1
16067,2025,46.6
16068,2008,59.6
16068,2009,63.8
16068,2010,68.1
16068,2011,56.3
16068,2012,47.4
16068,2013,47
16068,2014,41.5
16068,2015,41.8
16068,2016,47.3
16068,2017,41.2
16068,2018,40.2
16068,2019,41.8
16068,2020,38.4
16068,2021,42.5
16068,2022,43
16068,2023,47.6
16068,2024,45.2
16068,2025,51.3
16069,2008,56.8
16069,2009,71.8
16069,2010,50.6
16069,2011,54.1
16069,2012,48.5
16069,2013,52.5
16069,2014,44.3
16069,2015,39.2
16069,2016,40.8
16069,2017,40.2
16069,2018,37.7
16069,2019,41.2
16069,2020,40.5
16069,2021,46.5
16069,2022,48.4
16069,2023,45.4
16069,2024,50.5
16069,2025,48.8
16070,2008,75.2
16070,2009,75.8
16070,2010,73.9
16070,2011,78.6
16070,2012,72.5
16070,2013,62.7
16070,2014,55
16070,2015,53.5
16070,2016,54
16070,2017,53.2
16070,2018,49.6
16070,2019,51
16070,2020,47.4
16070,2021,50.3
16070,2022,43.6
16070,2023,44.3
16070,2024,45.6
16070,2025,48.3
16071,2008,81
16071,2009,90.2
16071,2010,74.3
16071,2011,69.8
16071,2012,61.3
16071,2013,61
16071,2014,57.3
16071,2015,55.2
16071,2016,46.2
16071,2017,53
16071,2018,50
16071,2019,51.6
16071,2020,45.4
16071,2021,49.5
16071,2022,48.7
16071,2023,51
16071,2024,46.5
16071,2025,53.2
16072,2008,82.4
16072,2009,78.5
16072,2010,63.1
16072,2011,73
16072,2012,56.2
16072,2013,53.7
16072,2014,52.8
16072,2015,48.2
16072,2016,45.5
16072,2017,36.7
16072,2018,49.6
16072,2019,42.4
16072,2020,45
16072,2021,43
16072,2022,49.1
16072,2023,48.1
16072,2024,49
16072,2025,51.1
16073,2008,62.6
16073,2009,65.7
16073,2010,58.9
16073,2011,55.9
16073,2012,45.9
16073,2013,45.9
