ags,year,population
06632,2020,120304
06632,2021,120163
06632,2022,118183
06632,2023,118010
06632,2024,117414
06632,2025,116906
05914,2018,188814
05914,2019,188686
05914,2020,188687
05914,2021,188713
05914,2022,189957
05914,2023,190640
05914,2024,190384
05914,2025,189983
03241,2018,1157624
03241,2019,1157115
03241,2020,1155330
03241,2021,1157541
03241,2022,1134284
03241,2023,1138943
03241,2024,1140888
03241,2025,1141128
09372,2018,127882
09372,2019,127998
09372,2020,128094
09372,2021,128444
09372,2022,127452
09372,2023,128230
09372,2024,128534
09372,2025,128141
05316,2018,163838
05316,2019,163729
05316,2020,163905
05316,2021,163851
05316,2022,167174
05316,2023,167850
05316,2024,168581
05316,2025,168299
03461,2018,88624
03461,2019,88583
03461,2020,88524
03461,2021,88430
03461,2022,89127
03461,2023,89316
03461,2024,88936
03461,2025,88852
06611,2018,201585
06611,2019,202137
06611,2020,201048
06611,2021,200406
06611,2022,196575
06611,2023,197065
06611,2024,197230
06611,2025,196799
05374,2018,272471
05374,2019,272057
05374,2020,271699
05374,2021,271621
05374,2022,273634
05374,2023,273963
05374,2024,274057
05374,2025,273368
09771,2018,133596
09771,2019,134655
09771,2020,135024
09771,2021,135538
09771,2022,135133
09771,2023,136430
09771,2024,136803
09771,2025,137281
09273,2018,122258
09273,2019,123058
09273,2020,123390
09273,2021,123899
09273,2022,124673
09273,2023,125597
09273,2024,126037
09273,2025,126321
07316,2018,53148
07316,2019,53264
07316,2020,53306
07316,2021,53491
07316,2022,52759
07316,2023,52709
07316,2024,52945
07316,2025,52882
03455,2018,98460
03455,2019,98704
03455,2020,98971
03455,2021,98971
03455,2022,100089
03455,2023,100461
03455,2024,100411
03455,2025,100261
07233,2018,60603
07233,2019,60646
07233,2020,60491
07233,2021,60882
07233,2022,59389
07233,2023,59542
07233,2024,59313
07233,2025,59160
07140,2018,102937
07140,2019,103163
07140,2020,103401
07140,2021,103767
07140,2022,105740
07140,2023,106390
07140,2024,106705
07140,2025,106726
07335,2018,106057
07335,2019,105979
07335,2020,106320
07335,2021,106853
07335,2022,105752
07335,2023,106082
07335,2024,106343
07335,2025,106317
09563,2018,127748
09563,2019,128497
09563,2020,128223
09563,2021,129122
09563,2022,131060
09563,2023,131712
09563,2024,132036
09563,2025,131344
03241001,2018,538068
03241001,2019,536925
03241001,2020,534049
03241001,2021,535932
03241001,2022,516540
03241001,2023,520290
03241001,2024,522131
03241001,2025,522803
08118,2018,543984
08118,2019,545423
08118,2020,544971
08118,2021,544679
08118,2022,532109
08118,2023,534808
08118,2024,535374
08118,2025,534454
01053,2018,197264
01053,2019,198019
01053,2020,199152
01053,2021,200819
01053,2022,204237
01053,2023,205445
01053,2024,206235
01053,2025,206492
03157,2018,133965
03157,2019,134801
03157,2020,135844
03157,2021,136960
03157,2022,136719
03157,2023,136983
03157,2024,137045
03157,2025,137149
07134,2018,80720
07134,2019,80951
07134,2020,80830
07134,2021,80849
07134,2022,82350
07134,2023,82622
07134,2024,82611
07134,2025,82304
03254,2018,276594
03254,2019,275817
03254,2020,275464
03254,2021,274773
03254,2022,268062
03254,2023,268318
03254,2024,267506
03254,2025,266613
09377,2018,72504
09377,2019,72046
09377,2020,71696
09377,2021,71648
09377,2022,72561
09377,2023,72545
09377,2024,72210
09377,2025,71768
06439,2018,187157
06439,2019,187160
06439,2020,187433
06439,2021,187229
06439,2022,185684
06439,2023,186050
06439,2024,185651
06439,2025,185359
03358,2018,139755
03358,2019,140673
03358,2020,140885
03358,2021,142912
03358,2022,143728
03358,2023,141627
03358,2024,141321
03358,2025,141473
08335,2018,285325
08335,2019,286305
08335,2020,286876
08335,2021,288097
08335,2022,289613
08335,2023,291397
08335,2024,291841
08335,2025,291867
05515,2018,314319
05515,2019,315293
05515,2020,316403
05515,2021,317713
05515,2022,305222
05515,2023,307071
05515,2024,308258
05515,2025,306368
06531,2018,268876
06531,2019,270688
06531,2020,271667
06531,2021,272874
06531,2022,266314
06531,2023,268141
06531,2024,268418
06531,2025,267283
09476,2018,67135
09476,2019,66743
09476,2020,66355
09476,2021,66091
09476,2022,65087
09476,2023,65009
09476,2024,64545
09476,2025,63806
06434,2018,236564
06434,2019,236914
06434,2020,237281
06434,2021,237041
06434,2022,238534
06434,2023,240622
06434,2024,241664
06434,2025,241730
05554,2018,370676
05554,2019,371339
05554,2020,371898
05554,2021,373582
05554,2022,377154
05554,2023,379787
05554,2024,380796
05554,2025,379561
05562,2018,615261
05562,2019,614137
05562,2020,613599
05562,2021,612801
05562,2022,621933
05562,2023,622855
05562,2024,621305
05562,2025,618865
05166,2018,298935
05166,2019,298863
05166,2020,298536
05166,2021,298761
05166,2022,295362
05166,2023,297504
05166,2024,297857
05166,2025,297193
03403,2018,168210
03403,2019,169077
03403,2020,169605
03403,2021,170389
03403,2022,174445
03403,2023,176242
03403,2024,176614
03403,2025,177055
05570,2018,277783
05570,2019,277840
05570,2020,277417
05570,2021,278176
05570,2022,281090
05570,2023,282216
05570,2024,282639
05570,2025,281872
09662,2018,54032
09662,2019,53426
09662,2020,53319
09662,2021,53585
09662,2022,53539
09662,2023,53938
09662,2024,54481
09662,2025,54539
08426,2018,199742
08426,2019,201282
08426,2020,202250
08426,2021,203244
08426,2022,205073
08426,2023,206783
08426,2024,207415
08426,2025,207203
05958,2018,260475
05958,2019,259777
05958,2020,259030
05958,2021,258615
05958,2022,261006
05958,2023,261193
05958,2024,260843
05958,2025,259176
09575,2018,100364
09575,2019,101014
09575,2020,101272
09575,2021,101788
09575,2022,100568
09575,2023,100982
09575,2024,101043
09575,2025,100767
07132,2018,128705
07132,2019,128805
07132,2020,129087
07132,2021,129261
07132,2022,131657
07132,2023,132149
07132,2024,132125
07132,2025,132055
09463,2018,41249
09463,2019,41072
09463,2020,40842
09463,2021,40955
09463,2022,40618
09463,2023,40907
09463,2024,41064
09463,2025,40970
09674,2018,84599
09674,2019,84384
09674,2020,84275
09674,2021,84284
09674,2022,83258
09674,2023,83673
09674,2024,83869
09674,2025,83390
06411,2018,159207
06411,2019,159878
06411,2020,159174
06411,2021,159631
06411,2022,162329
06411,2023,164832
06411,2024,167029
06411,2025,168253
09677,2018,126365
09677,2019,126158
09677,2020,125976
09677,2021,126105
09677,2022,125270
09677,2023,125814
09677,2024,125282
09677,2025,124315
09562,2018,111962
09562,2019,112528
09562,2020,112385
09562,2021,113292
09562,2022,113911
09562,2023,115314
09562,2024,115928
09562,2025,116450
05711,2018,333786
05711,2019,334195
05711,2020,333509
05711,2021,334002
05711,2022,331385
05711,2023,331519
05711,2024,331605
05711,2025,331419
08327,2018,140152
08327,2019,140766
08327,2020,141682
08327,2021,142414
08327,2022,143677
08327,2023,144955
08327,2024,145208
08327,2025,145002
08215,2018,444232
08215,2019,445101
08215,2020,446852
08215,2021,448487
08215,2022,453378
08215,2023,455350
08215,2024,456264
08215,2025,456224
05970,2018,278210
05970,2019,276944
05970,2020,275491
05970,2021,274342
05970,2022,274634
05970,2023,274379
05970,2024,274074
05970,2025,272509
01003,2018,217198
01003,2019,216530
01003,2020,215846
01003,2021,216277
01003,2022,216097
01003,2023,217061
01003,2024,216889
01003,2025,217061
03405,2018,76278
03405,2019,76089
03405,2020,75189
03405,2021,75027
03405,2022,75860
03405,2023,76010
03405,2024,75745
03405,2025,75324
09464,2018,45930
09464,2019,45825
09464,2020,45173
09464,2021,45125
09464,2022,46151
09464,2023,46484
09464,2024,46778
09464,2025,46624
09762,2018,43893
09762,2019,44398
09762,2020,44662
09762,2021,45118
09762,2022,45459
09762,2023,46071
09762,2024,46193
09762,2025,46282
08135,2018,132472
08135,2019,132777
08135,2020,132812
08135,2021,132958
08135,2022,134766
08135,2023,135241
08135,2024,135235
08135,2025,135075
09174,2018,153884
09174,2019,154899
09174,2020,155117
09174,2021,155449
09174,2022,151041
09174,2023,151925
09174,2024,153595
09174,2025,154176
01062,2018,243196
01062,2019,244156
01062,2020,244989
01062,2021,245406
01062,2022,245822
01062,2023,246201
01062,2024,246974
01062,2025,247394
06433,2018,274526
06433,2019,275726
06433,2020,275807
06433,2021,276307
06433,2022,266326
06433,2023,267920
06433,2024,268310
06433,2025,268614
06534,2018,246648
06534,2019,247084
06534,2020,245903
06534,2021,246097
06534,2022,242197
06534,2023,243093
06534,2024,242805
06534,2025,242751
07320,2018,34209
07320,2019,34193
07320,2020,34001
07320,2021,34091
07320,2022,33264
07320,2023,33355
07320,2024,33323
07320,2025,33178
09661,2018,70527
09661,2019,71002
09661,2020,70858
09661,2021,71381
09661,2022,72054
09661,2023,72554
09661,2024,73091
09661,2025,73326
09187,2018,260983
09187,2019,261330
09187,2020,261721
09187,2021,263367
09187,2022,255306
09187,2023,256815
09187,2024,258637
09187,2025,258824
05762,2018,140667
05762,2019,140251
05762,2020,139729
05762,2021,139994
05762,2022,138943
05762,2023,139042
05762,2024,139252
05762,2025,138156
08425,2018,196047
08425,2019,197076
08425,2020,198204
08425,2021,199732
08425,2022,200294
08425,2023,201769
08425,2024,202354
08425,2025,202554
07333,2018,75101
07333,2019,75325
07333,2020,75539
07333,2021,75569
07333,2022,74854
07333,2023,74728
07333,2024,74783
07333,2025,74588
06635,2018,156953
06635,2019,156406
06635,2020,156528
06635,2021,156513
06635,2022,155068
06635,2023,155135
06635,2024,155126
06635,2025,154437
09277,2018,120659
09277,2019,121502
09277,2020,121800
09277,2021,122252
09277,2022,119864
09277,2023,120475
09277,2024,120497
09277,2025,120638
08311,2018,230241
08311,2019,231195
08311,2020,230940
08311,2021,231848
08311,2022,235003
08311,2023,236236
08311,2024,237460
08311,2025,238299
08116,2018,533859
08116,2019,535024
08116,2020,533617
08116,2021,533388
08116,2022,533434
08116,2023,536027
08116,2024,536601
08116,2025,536328
09161,2018,136981
09161,2019,137392
09161,2020,136952
09161,2021,138016
09161,2022,138263
09161,2023,139536
09161,2024,141185
09161,2025,140799
07312,2018,99845
07312,2019,100030
07312,2020,99662
07312,2021,99292
07312,2022,100316
07312,2023,100571
07312,2024,100426
07312,2025,100247
03102,2018,104948
03102,2019,104291
03102,2020,103866
03102,2021,103694
03102,2022,104564
03102,2023,105056
03102,2024,104970
03102,2025,104433
03456,2018,136511
03456,2019,137162
03456,2020,137891
03456,2021,138722
03456,2022,143472
03456,2023,144212
03456,2024,144543
03456,2025,144674
05112,2018,498590
05112,2019,498686
05112,2020,495885
05112,2021,495152
05112,2022,501671
05112,2023,503185
05112,2024,502270
05112,2025,500810
09477,2018,71845
09477,2019,71566
09477,2020,71428
09477,2021,71328
09477,2022,71439
09477,2023,71752
09477,2024,71518
09477,2025,70997
09180,2018,88467
09180,2019,88424
09180,2020,88279
09180,2021,88232
09180,2022,89224
09180,2023,89322
09180,2024,89296
09180,2025,89350
06438,2018,354092
06438,2019,355813
06438,2020,356542
06438,2021,357466
06438,2022,353948
06438,2023,356578
06438,2024,358022
06438,2025,358984
09182,2018,99726
09182,2019,100010
09182,2020,100183
09182,2021,99978
09182,2022,96557
09182,2023,96730
09182,2024,97152
09182,2025,96924
05962,2018,412120
05962,2019,410222
05962,2020,408662
05962,2021,406793
05962,2022,410629
05962,2023,408899
05962,2024,408046
05962,2025,405164
09363,2018,42520
09363,2019,42743
09363,2020,42535
09363,2021,42472
09363,2022,42251
09363,2023,42430
09363,2024,42444
09363,2025,42453
08236,2018,198905
08236,2019,199556
08236,2020,199752
08236,2021,200237
08236,2022,198950
08236,2023,199878
08236,2024,199745
08236,2025,199150
03355,2018,183372
03355,2019,184139
03355,2020,184235
03355,2021,185129
03355,2022,178099
03355,2023,179403
03355,2024,179448
03355,2025,179185
09576,2018,126958
09576,2019,126749
09576,2020,127168
09576,2021,127520
09576,2022,127472
09576,2023,128438
09576,2024,128632
09576,2025,128210
09376,2018,147189
09376,2019,147872
09376,2020,148477
09376,2021,149239
09376,2022,147982
09376,2023,148698
09376,2024,149312
09376,2025,149363
05911,2018,364628
05911,2019,365587
05911,2020,364454
05911,2021,363441
05911,2022,356209
05911,2023,357024
05911,2024,358676
05911,2025,358880
07235,2018,148945
07235,2019,149398
07235,2020,150533
07235,2021,151167
07235,2022,149015
07235,2023,149056
07235,2024,148953
07235,2025,148645
07314,2018,171061
07314,2019,172253
07314,2020,172557
07314,2021,172145
07314,2022,173869
07314,2023,175816
07314,2024,177222
07314,2025,177355
05378,2018,283455
05378,2019,283271
05378,2020,283275
05378,2021,283429
05378,2022,283037
05378,2023,283607
05378,2024,284273
05378,2025,283775
08212,2018,313092
08212,2019,312060
08212,2020,308436
08212,2021,306502
08212,2022,306630
08212,2023,308197
08212,2024,309050
08212,2025,309247
08127,2018,195861
08127,2019,196761
08127,2020,197860
08127,2021,199398
08127,2022,198650
08127,2023,200597
08127,2024,200902
08127,2025,201064
09371,2018,103109
09371,2019,103049
09371,2020,102998
09371,2021,103277
09371,2022,103621
09371,2023,104127
09371,2024,103982
09371,2025,103788
09272,2018,78355
09272,2019,78362
09272,2020,78355
09272,2021,78632
09272,2022,78155
09272,2023,78512
09272,2024,78710
09272,2025,78441
01056,2018,314391
01056,2019,316103
01056,2020,317085
01056,2021,318326
01056,2022,321849
01056,2023,323762
01056,2024,325223
01056,2025,325858
08316,2018,165383
08316,2019,166408
08316,2020,166862
08316,2021,167945
08316,2022,168004
08316,2023,169470
08316,2024,169787
08316,2025,170463
08231,2018,125542
08231,2019,125957
08231,2020,126016
08231,2021,125529
08231,2022,133896
08231,2023,135087
08231,2024,134912
08231,2025,134422
08436,2018,284285
08436,2019,285424
08436,2020,285888
08436,2021,287011
08436,2022,287393
08436,2023,289725
08436,2024,291102
08436,2025,291600
03153,2018,137014
03153,2019,136292
03153,2020,134688
03153,2021,134050
03153,2022,127856
03153,2023,127712
03153,2024,126775
03153,2025,126082
03256,2018,121386
03256,2019,121390
03256,2020,121645
03256,2021,121773
03256,2022,121295
03256,2023,121723
03256,2024,121468
03256,2025,121159
08111,2018,634830
08111,2019,635911
08111,2020,630305
08111,2021,626275
08111,2022,612041
08111,2023,613111
08111,2024,612663
08111,2025,609365
05754,2018,364083
05754,2019,364938
05754,2020,364818
05754,2021,366104
05754,2022,361931
05754,2023,363674
05754,2024,363982
05754,2025,362443
09775,2018,174200
09775,2019,175204
09775,2020,175823
09775,2021,177330
09775,2022,180320
09775,2023,182560
09775,2024,183595
09775,2025,183829
03158,2018,119960
03158,2019,119622
03158,2020,119361
03158,2021,119224
03158,2022,118296
03158,2023,118540
03158,2024,118290
03158,2025,117844
05117,2018,170880
05117,2019,170632
05117,2020,170921
05117,2021,170739
05117,2022,172054
05117,2023,172887
05117,2024,173050
05117,2025,171674
09172,2018,105722
09172,2019,105929
09172,2020,106327
09172,2021,106389
09172,2022,104372
09172,2023,105108
09172,2024,105292
09172,2025,105118
05916,2018,156374
05916,2019,156449
05916,2020,156940
05916,2021,156621
05916,2022,155603
05916,2023,156154
05916,2024,155851
05916,2025,156266
07319,2018,83330
07319,2019,83542
07319,2020,83459
07319,2021,83850
07319,2022,85378
07319,2023,86403
07319,2024,86753
07319,2025,86921
09571,2018,183949
09571,2019,184591
09571,2020,185316
09571,2021,186279
09571,2022,186359
09571,2023,187340
09571,2024,187633
09571,2025,187487
01060,2018,276032
01060,2019,277175
01060,2020,278007
01060,2021,280400
01060,2022,279922
01060,2023,282268
01060,2024,283562
01060,2025,283770
09179,2018,219320
09179,2019,219311
09179,2020,218740
09179,2021,218579
09179,2022,215511
09179,2023,216912
09179,2024,218227
09179,2025,218580
08337,2018,170619
08337,2019,171003
08337,2020,171237
08337,2021,171249
08337,2022,170765
08337,2023,171777
08337,2024,171579
08337,2025,171513
07338,2018,154201
07338,2019,154609
07338,2020,154754
07338,2021,155050
07338,2022,155061
07338,2023,155525
07338,2024,155882
07338,2025,155710
08225,2018,143535
08225,2019,143633
08225,2020,143797
08225,2021,143929
08225,2022,145039
08225,2023,145681
08225,2024,145263
08225,2025,144909
03451,2018,124071
03451,2019,124859
03451,2020,125643
03451,2021,126475
03451,2022,126390
03451,2023,127292
03451,2024,127751
03451,2025,127632
09185,2018,96680
09185,2019,97303
09185,2020,97730
09185,2021,98503
09185,2022,97792
09185,2023,98967
09185,2024,99364
09185,2025,99429
09472,2018,103656
09472,2019,103664
09472,2020,103679
09472,2021,103648
09472,2022,103106
09472,2023,103269
09472,2024,103215
09472,2025,102756
07133,2018,158080
07133,2019,158345
07133,2020,158746
07133,2021,159402
07133,2022,163979
07133,2023,164564
07133,2024,164748
07133,2025,164822
03353,2018,252776
03353,2019,254431
03353,2020,256016
03353,2021,257548
03353,2022,262954
03353,2023,264767
03353,2024,265864
03353,2025,265727
03454,2018,325657
03454,2019,326954
03454,2020,328930
03454,2021,331397
03454,2022,331711
03454,2023,334203
03454,2024,334539
03454,2025,334403
08415,2018,286748
08415,2019,287034
08415,2020,287497
08415,2021,288158
08415,2022,291335
08415,2023,293385
08415,2024,293483
08415,2025,293527
07334,2018,129075
07334,2019,129013
07334,2020,129006
07334,2021,129313
07334,2022,130935
07334,2023,131678
07334,2024,131383
07334,2025,130765
05978,2018,394782
05978,2019,394891
05978,2020,393618
05978,2021,393063
05978,2022,395619
05978,2023,396283
05978,2024,393784
05978,2025,392266
09171,2018,111210
09171,2019,111516
09171,2020,111654
09171,2021,112116
09171,2022,112296
09171,2023,113018
09171,2024,113938
09171,2025,113775
05120,2018,110994
05120,2019,111338
05120,2020,111516
05120,2021,111770
05120,2022,113731
05120,2023,114061
05120,2024,113828
05120,2025,113333
03460,2018,141598
03460,2019,142814
03460,2020,143698
03460,2021,144805
03460,2022,145552
03460,2023,146400
03460,2024,146539
03460,2025,146838
03459,2018,357343
03459,2019,358080
03459,2020,359471
03459,2021,361550
03459,2022,356060
03459,2023,356194
03459,2024,354821
03459,2025,354130
07315,2018,217118
07315,2019,218578
07315,2020,217123
07315,2021,217556
07315,2022,221516
07315,2023,223871
07315,2024,224684
07315,2025,223888
05954,2018,324296
05954,2019,324106
05954,2020,323130
05954,2021,322143
05954,2022,315325
05954,2023,315069
05954,2024,314167
05954,2025,313003
07141,2018,122308
07141,2019,122297
07141,2020,122574
07141,2021,122724
07141,2022,124860
07141,2023,125283
07141,2024,125588
07141,2025,125160
06535,2018,105878
06535,2019,105643
06535,2020,105506
06535,2021,105671
06535,2022,101545
06535,2023,101494
06535,2024,101163
06535,2025,100723
05770,2018,310710
05770,2019,310409
05770,2020,310270
05770,2021,311214
05770,2022,320648
05770,2023,320925
05770,2024,320557
05770,2025,319491
05913,2018,587010
05913,2019,588250
05913,2020,587696
05913,2021,586852
05913,2022,599370
05913,2023,601343
05913,2024,603462
05913,2025,600880
03151,2018,175920
03151,2019,176523
03151,2020,177227
03151,2021,177919
03151,2022,175361
03151,2023,175876
03151,2024,175943
03151,2025,175518
01059,2018,200025
01059,2019,201156
01059,2020,202647
01059,2021,203799
01059,2022,204255
01059,2023,204761
01059,2024,205472
01059,2025,205816
06633,2018,236633
06633,2019,236764
06633,2020,237007
06633,2021,237268
06633,2022,230318
06633,2023,230742
06633,2024,231073
06633,2025,230063
08125,2018,343068
08125,2019,344456
08125,2020,346363
08125,2021,347798
08125,2022,351402
08125,2023,353609
08125,2024,353877
08125,2025,353704
08119,2018,426158
08119,2019,427248
08119,2020,427286
08119,2021,427316
08119,2022,438079
08119,2023,440103
08119,2024,440696
08119,2025,438873
06412,2018,753056
06412,2019,763380
06412,2020,764104
06412,2021,759224
06412,2022,747389
06412,2023,749596
06412,2024,756021
06412,2025,760656
03357,2018,163455
03357,2019,163782
03357,2020,164486
03357,2021,165001
03357,2022,164657
03357,2023,165561
03357,2024,165904
03357,2025,165853
09676,2018,128756
09676,2019,128743
09676,2020,128743
09676,2021,128782
09676,2022,126649
09676,2023,127204
09676,2024,127547
09676,2025,126746
06532,2018,253777
06532,2019,253319
06532,2020,253373
06532,2021,253364
06532,2022,253208
06532,2023,254444
06532,2024,254074
06532,2025,253439
05158,2018,485684
05158,2019,485570
05158,2020,484322
05158,2021,484411
05158,2022,489246
05158,2023,489760
05158,2024,490910
05158,2025,489147
03462,2018,56882
03462,2019,56926
03462,2020,57384
03462,2021,57455
03462,2022,55953
03462,2023,56013
03462,2024,55969
03462,2025,55849
08117,2018,257253
08117,2019,258145
08117,2020,258781
08117,2021,259046
08117,2022,257269
08117,2023,259232
08117,2024,258809
08117,2025,258048
09279,2018,96217
09279,2019,96683
09279,2020,97244
09279,2021,98045
09279,2022,99509
09279,2023,100727
09279,2024,101035
09279,2025,101040
03251,2018,216886
03251,2019,217089
03251,2020,218072
03251,2021,218839
03251,2022,219641
03251,2023,220743
03251,2024,221202
03251,2025,221384
07135,2018,61587
07135,2019,61375
07135,2020,61578
07135,2021,61735
07135,2022,61509
07135,2023,61538
07135,2024,61608
07135,2025,61380
09663,2018,127880
09663,2019,127934
09663,2020,126954
09663,2021,126933
09663,2022,131271
09663,2023,131759
09663,2024,133258
09663,2025,133753
06435,2018,418950
06435,2019,420552
06435,2020,421689
06435,2021,423465
06435,2022,415753
06435,2023,419055
06435,2024,420914
06435,2025,421175
08326,2018,212381
08326,2019,212506
08326,2020,212872
08326,2021,213385
08326,2022,212293
08326,2023,213922
08326,2024,214065
08326,2025,213680
06414,2018,278342
06414,2019,278474
06414,2020,278609
06414,2021,278950
06414,2022,284787
06414,2023,287241
06414,2024,288850
06414,2025,288584
02000,2018,1841179
02000,2019,1847253
02000,2020,1852478
02000,2021,1853935
02000,2022,1832675
02000,2023,1851596
02000,2024,1862565
02000,2025,1869473
08417,2018,188935
08417,2019,189363
08417,2020,189862
08417,2021,190545
08417,2022,192726
08417,2023,193339
08417,2024,193326
08417,2025,193096
03402,2018,50195
03402,2019,49913
03402,2020,49874
03402,2021,49523
03402,2022,49563
03402,2023,49701
03402,2024,49202
03402,2025,49009
01054,2018,165507
01054,2019,165951
01054,2020,167147
01054,2021,167560
01054,2022,168886
01054,2023,170048
01054,2024,170029
01054,2025,170148
05362,2018,470089
05362,2019,470615
05362,2020,469611
05362,2021,471891
05362,2022,473669
05362,2023,476412
05362,2024,477988
05362,2025,476913
05154,2018,310974
05154,2019,312465
05154,2020,313586
05154,2021,314676
05154,2022,317411
05154,2023,319928
05154,2024,322018
05154,2025,320368
09574,2018,170365
09574,2019,170792
09574,2020,171143
09574,2021,171424
09574,2022,168856
09574,2023,169193
09574,2024,168813
09574,2025,168282
03404,2018,164748
03404,2019,165251
03404,2020,164223
03404,2021,165034
03404,2022,165741
03404,2023,165686
03404,2024,166057
03404,2025,166257
05566,2018,447614
05566,2019,448220
05566,2020,448197
05566,2021,450176
05566,2022,447192
05566,2023,450042
05566,2024,451712
05566,2025,451004
05122,2018,159360
05122,2019,159245
05122,2020,159193
05122,2021,158957
05122,2022,165229
05122,2023,166078
05122,2024,165626
05122,2025,164621
09772,2018,251534
09772,2019,253468
09772,2020,255900
09772,2021,257790
09772,2022,259302
09772,2023,261600
09772,2024,262811
09772,2025,263381
03359,2018,203102
03359,2019,204512
03359,2020,205357
03359,2021,206496
03359,2022,206375
03359,2023,207659
03359,2024,207700
03359,2025,207935
08435,2018,216227
08435,2019,217470
08435,2020,217901
08435,2021,218885
08435,2022,219641
08435,2023,221208
08435,2024,220804
08435,2025,220895
09373,2018,133561
09373,2019,134573
09373,2020,135225
09373,2021,136062
09373,2022,136901
09373,2023,138214
09373,2024,138693
09373,2025,138902
09678,2018,115106
09678,2019,115445
09678,2020,115652
09678,2021,116134
09678,2022,114749
09678,2023,114404
09678,2024,113977
09678,2025,113608
08315,2018,262795
08315,2019,263601
08315,2020,264867
08315,2021,265792
08315,2022,269631
08315,2023,271977
08315,2024,272558
08315,2025,272707
09561,2018,41847
09561,2019,41798
09561,2020,41681
09561,2021,41662
09561,2022,39596
09561,2023,39700
09561,2024,40742
09561,2025,40554
05119,2018,210829
05119,2019,210764
05119,2020,209566
05119,2021,208752
05119,2022,213252
05119,2023,213510
05119,2024,213646
05119,2025,213178
09461,2018,77592
09461,2019,77373
09461,2020,76674
09461,2021,77749
09461,2022,74405
09461,2023,75087
09461,2024,77150
09461,2025,77218
05314,2018,327258
05314,2019,329673
05314,2020,330579
05314,2021,331885
05314,2022,322221
05314,2023,321680
05314,2024,323336
05314,2025,323587
09189,2018,177089
09189,2019,177319
09189,2020,177485
09189,2021,178447
09189,2022,170984
09189,2023,172021
09189,2024,175144
09189,2025,175319
03453,2018,169348
03453,2019,170682
03453,2020,172632
03453,2021,173980
03453,2022,175549
03453,2023,176540
03453,2024,177025
03453,2025,177849
09262,2018,52469
09262,2019,52803
09262,2020,52415
09262,2021,53093
09262,2022,52361
09262,2023,52894
09262,2024,53039
09262,2025,53523
09176,2018,132341
09176,2019,132881
09176,2020,133169
09176,2021,133634
09176,2022,134201
09176,2023,135220
09176,2024,135668
09176,2025,135982
03352,2018,198213
03352,2019,198038
03352,2020,198826
03352,2021,199603
03352,2022,198898
03352,2023,199390
03352,2024,198842
03352,2025,198886
04012,2018,113634
04012,2019,113643
04012,2020,113557
04012,2021,113173
04012,2022,118811
04012,2023,118323
04012,2024,118610
04012,2025,118502
06631,2018,222584
06631,2019,223145
06631,2020,223023
06631,2021,223572
06631,2022,221445
06631,2023,222688
06631,2024,222283
06631,2025,222214
03155,2018,132765
03155,2019,132285
03155,2020,131772
03155,2021,131765
03155,2022,126598
03155,2023,126310
03155,2024,125623
03155,2025,124692
09778,2018,144041
09778,2019,145341
09778,2020,146164
09778,2021,147776
09778,2022,143384
09778,2023,145298
09778,2024,147255
09778,2025,147386
09565,2018,40792
09565,2019,40981
09565,2020,41056
09565,2021,41146
09565,2022,40812
09565,2023,40994
09565,2024,40835
09565,2025,40702
09474,2018,116099
09474,2019,116203
09474,2020,116600
09474,2021,116753
09474,2022,115457
09474,2023,116284
09474,2024,116184
09474,2025,116602
06436,2018,237735
06436,2019,238558
06436,2020,239264
06436,2021,239276
06436,2022,237671
06436,2023,238593
06436,2024,238775
06436,2025,238783
07331,2018,129244
07331,2019,129687
07331,2020,130715
07331,2021,131330
07331,2022,129893
07331,2023,130794
07331,2024,131238
07331,2025,131076
09773,2018,96021
09773,2019,96562
09773,2020,97172
09773,2021,97985
09773,2022,97430
09773,2023,98474
09773,2024,98899
09773,2025,98870
09573,2018,117387
09573,2019,117853
09573,2020,118695
09573,2021,119432
09573,2022,117602
09573,2023,117617
09573,2024,117719
09573,2025,117787
07131,2018,129727
07131,2019,130086
07131,2020,130479
07131,2021,128146
07131,2022,127881
07131,2023,128546
07131,2024,129353
07131,2025,129763
07211,2018,110636
07211,2019,111528
07211,2020,110674
07211,2021,110570
07211,2022,103307
07211,2023,103986
07211,2024,104342
07211,2025,105054
03458,2018,130144
03458,2019,130890
03458,2020,131467
03458,2021,132091
03458,2022,131228
03458,2023,131965
03458,2024,132008
03458,2025,132176
09672,2018,103218
09672,2019,103235
09672,2020,103169
09672,2021,103454
09672,2022,103088
09672,2023,103447
09672,2024,103489
09672,2025,102950
06431,2018,269694
06431,2019,270340
06431,2020,271015
06431,2021,271166
06431,2022,273288
06431,2023,274484
06431,2024,274169
06431,2025,273353
05382,2018,599780
05382,2019,600764
05382,2020,600375
05382,2021,600732
05382,2022,602933
05382,2023,605283
05382,2024,605441
05382,2025,603456
07232,2018,98561
07232,2019,99058
07232,2020,100055
07232,2021,100959
07232,2022,99866
07232,2023,100740
07232,2024,99788
07232,2025,99589
09190,2018,135348
09190,2019,135478
09190,2020,136134
09190,2021,136642
09190,2022,136811
09190,2023,138052
09190,2024,138957
09190,2025,139241
09679,2018,161834
09679,2019,162302
09679,2020,162697
09679,2021,163534
09679,2022,160240
09679,2023,160879
09679,2024,162216
09679,2025,161586
09163,2018,63324
09163,2019,63551
09163,2020,63591
09163,2021,63508
09163,2022,63641
09163,2023,64453
09163,2024,65274
09163,2025,65808
07317,2018,40403
07317,2019,40231
