ags,year,population
14612,2023,563019
14612,2024,564904
14612,2025,562764
14625,2018,300880
14625,2019,299758
14625,2020,298010
14625,2021,296290
14625,2022,295917
14625,2023,294746
14625,2024,292608
14625,2025,290610
14626,2018,254894
14626,2019,252725
14626,2020,250558
14626,2021,248273
14626,2022,246989
14626,2023,245867
14626,2024,243958
14626,2025,241749
14627,2018,242165
14627,2019,241717
14627,2020,240371
14627,2021,239344
14627,2022,240519
14627,2023,240368
14627,2024,239221
14627,2025,238334
14628,2018,245611
14628,2019,245586
14628,2020,244722
14628,2021,244009
14628,2022,245313
14628,2023,245143
14628,2024,243996
14628,2025,242471
14713,2018,587857
14713,2019,593145
14713,2020,597493
14713,2021,601866
14713,2022,603578
14713,2023,608013
14713,2024,611850
14713,2025,615932
14729,2018,257763
14729,2019,258139
14729,2020,258386
14729,2021,258214
14729,2022,259568
14729,2023,260706
14729,2024,260127
14729,2025,259516
14730,2018,197673
14730,2019,197741
14730,2020,197444
14730,2021,197529
14730,2022,200825
14730,2023,200778
14730,2024,199422
14730,2025,198639
15001,2018,81237
15001,2019,80103
15001,2020,79354
15001,2021,78731
15001,2022,76042
15001,2023,76062
15001,2024,75402
15001,2025,75035
15002,2018,239257
15002,2019,238762
15002,2020,237865
15002,2021,238061
15002,2022,227416
15002,2023,227639
15002,2024,226767
15002,2025,226186
15003,2018,238697
15003,2019,237565
15003,2020,235775
15003,2021,236188
15003,2022,241753
15003,2023,242491
15003,2024,244329
15003,2025,244494
15081,2018,83765
15081,2019,83173
15081,2020,82687
15081,2021,81986
15081,2022,81369
15081,2023,80780
15081,2024,79980
15081,2025,79460
15082,2018,159854
15082,2019,158486
15082,2020,157217
15082,2021,155900
15082,2022,154366
15082,2023,153801
15082,2024,153035
15082,2025,151352
15083,2018,171734
15083,2019,170923
15083,2020,170567
15083,2021,170106
15083,2022,168952
15083,2023,168593
15083,2024,167924
15083,2025,167314
15084,2018,180190
15084,2019,178846
15084,2020,177590
15084,2021,176333
15084,2022,175180
15084,2023,175217
15084,2024,173684
15084,2025,171535
15085,2018,214446
15085,2019,213310
15085,2020,210975
15085,2021,209117
15085,2022,208634
15085,2023,207134
15085,2024,205484
15085,2025,202574
15086,2018,89928
15086,2019,89589
15086,2020,89403
15086,2021,89118
15086,2022,89033
15086,2023,88695
15086,2024,88509
15086,2025,88356
15087,2018,136249
15087,2019,134942
15087,2020,133690
15087,2021,132317
15087,2022,131107
15087,2023,130162
15087,2024,129029
15087,2025,127668
15088,2018,184582
15088,2019,183815
15088,2020,183434
15088,2021,182814
15088,2022,182390
15088,2023,182677
15088,2024,182451
15088,2025,181327
15089,2018,190560
15089,2019,189125
15089,2020,187457
15089,2021,185495
15089,2022,183727
15089,2023,182296
15089,2024,180771
15089,2025,178773
15090,2018,111982
15090,2019,111190
15090,2020,110485
15090,2021,109746
15090,2022,107462
15090,2023,106793
15090,2024,106538
15090,2025,105803
15091,2018,125840
15091,2019,124953
15091,2020,124185
15091,2021,123341
15091,2022,122808
15091,2023,122230
15091,2024,121694
15091,2025,120375
16051,2018,213699
16051,2019,213981
16051,2020,213692
16051,2021,213227
16051,2022,218769
16051,2023,219549
16051,2024,218793
16051,2025,217159
16052,2018,94152
16052,2019,93125
16052,2020,92126
16052,2021,91368
16052,2022,94454
16052,2023,95695
16052,2024,95608
16052,2025,95162
16053,2018,111407
16053,2019,111343
16053,2020,110731
16053,2021,110502
16053,2022,110470
16053,2023,110076
16053,2024,109725
16053,2025,109353
16054,2018,34835
16054,2019,36789
16054,2020,36395
16054,2021,36054
16054,2022,36325
16054,2023,36307
16054,2024,34685
16054,2025,33976
16055,2018,65090
16055,2019,65228
16055,2020,65098
16055,2021,65138
16055,2022,65507
16055,2023,65528
16055,2024,65954
16055,2025,65566
16056,2018,42370
16056,2019,42250
16056,2020,41970
16061,2018,100380
16061,2019,100006
16061,2020,99463
16061,2021,99324
16061,2022,99358
