ags,year,divorces
15082,2018,61
15082,2019,162
15082,2020,57
15082,2021,46
15082,2022,127
15082,2023,112
15082,2024,126
15083,2018,140
15083,2019,90
15083,2020,56
15083,2021,91
15083,2022,136
15083,2023,73
15083,2024,64
15084,2018,137
15084,2019,63
15084,2020,61
15084,2021,62
15084,2022,64
15084,2023,121
15084,2024,69
15085,2018,172
15085,2019,193
15085,2020,86
15085,2021,108
15085,2022,75
15085,2023,94
15085,2024,76
15086,2018,43
15086,2019,27
15086,2020,36
15086,2021,43
15086,2022,41
15086,2023,36
15086,2024,23
15087,2018,80
15087,2019,91
15087,2020,91
15087,2021,53
15087,2022,46
15087,2023,45
15087,2024,48
15088,2018,34
15088,2019,101
15088,2020,87
15088,2021,46
15088,2022,95
15088,2023,51
15088,2024,34
15089,2018,76
15089,2019,96
15089,2020,132
15089,2021,108
15089,2022,158
15089,2023,71
15089,2024,134
15090,2018,83
15090,2019,51
15090,2020,45
15090,2021,44
15090,2022,45
15090,2023,65
15090,2024,68
15091,2018,67
15091,2019,94
15091,2020,45
15091,2021,34
15091,2022,37
15091,2023,68
15091,2024,58
16051,2018,99
16051,2019,100
16051,2020,74
16051,2021,83
16051,2022,175
16051,2023,162
16051,2024,63
16052,2018,76
16052,2019,130
16052,2020,49
16052,2021,35
16052,2022,91
16052,2023,28
16052,2024,27
16053,2018,43
16053,2019,48
16053,2020,43
16053,2021,41
16053,2022,72
16053,2023,60
16053,2024,36
16054,2018,24
16054,2019,30
16054,2020,8
16054,2021,5
16054,2022,9
16054,2023,21
16054,2024,4
16055,2018,34
16055,2019,42
16055,2020,16
16055,2021,34
16055,2022,26
16055,2023,54
16055,2024,27
16056,2018,34
16056,2019,24
16056,2020,10
16061,2018,37
16061,2019,48
16061,2020,44
16061,2021,59
16061,2022,41
16061,2023,69
16061,2024,45
16062,2018,23
16062,2019,43
16062,2020,34
16062,2021,36
16062,2022,44
16062,2023,61
16062,2024,37
16063,2018,90
16063,2019,65
16063,2020,38
16063,2021,65
16063,2022,138
16063,2023,125
16063,2024,79
16064,2018,60
16064,2019,47
16064,2020,42
16064,2021,34
16064,2022,77
16064,2023,51
16064,2024,43
16065,2018,44
16065,2019,64
16065,2020,24
16065,2021,38
16065,2022,68
16065,2023,26
16065,2024,24
16066,2018,44
16066,2019,107
16066,2020,41
16066,2021,43
16066,2022,123
16066,2023,80
16066,2024,57
16067,2018,124
16067,2019,64
16067,2020,49
16067,2021,60
16067,2022,56
16067,2023,84
16067,2024,62
16068,2018,34
16068,2019,89
16068,2020,18
16068,2021,20
16068,2022,19
16068,2023,52
16068,2024,24
16069,2018,23
16069,2019,42
16069,2020,23
16069,2021,31
16069,2022,24
16069,2023,30
16069,2024,20
16070,2018,49
16070,2019,67
16070,2020,46
16070,2021,71
16070,2022,73
16070,2023,44
16070,2024,63
16071,2018,38
16071,2019,29
16071,2020,60
16071,2021,32
16071,2022,68
16071,2023,55
16071,2024,66
16072,2018,20
16072,2019,14
16072,2020,20
16072,2021,44
16072,2022,24
16072,2023,31
16072,2024,43
16073,2018,43
16073,2019,21
16073,2020,45
16073,2021,47
16073,2022,43
16073,2023,42
16073,2024,73
16074,2018,34
16074,2019,28
16074,2020,33
16074,2021,82
16074,2022,43
16074,2023,64
16074,2024,36
16075,2018,54
16075,2019,43
16075,2020,32
16075,2021,21
16075,2022,44
16075,2023,53
16075,2024,28
16076,2018,79
16076,2019,44
16076,2020,21
16076,2021,21
16076,2022,54
16076,2023,74
16076,2024,15
16077,2018,38
16077,2019,88
16077,2020,26
16077,2021,11
16077,2022,74
16077,2023,70
16077,2024,24
09576,2018,57
09576,2019,66
09576,2020,86
