ags,year,divorces
09278,2022,40
09278,2023,41
09278,2024,82
09776,2018,23
09776,2019,66
09776,2020,30
09776,2021,35
09776,2022,34
09776,2023,29
09776,2024,69
03401,2018,39
03401,2019,41
03401,2020,34
03401,2021,50
03401,2022,38
03401,2023,35
03401,2024,43
09777,2018,50
09777,2019,53
09777,2020,62
09777,2021,99
09777,2022,67
09777,2023,53
09777,2024,113
08435,2018,92
08435,2019,96
08435,2020,191
08435,2021,89
08435,2022,99
08435,2023,79
08435,2024,147
05370,2018,261
05370,2019,140
05370,2020,137
05370,2021,141
05370,2022,111
05370,2023,114
05370,2024,142
03459,2018,157
03459,2019,292
03459,2020,205
03459,2021,233
03459,2022,137
03459,2023,140
03459,2024,182
05162,2018,439
05162,2019,240
05162,2020,218
05162,2021,197
05162,2022,403
05162,2023,218
05162,2024,243
05382,2018,523
05382,2019,288
05382,2020,258
05382,2021,272
05382,2022,252
05382,2023,249
05382,2024,283
06432,2018,162
06432,2019,155
06432,2020,139
06432,2021,161
06432,2022,167
06432,2023,145
06432,2024,149
09472,2018,50
09472,2019,57
09472,2020,99
09472,2021,97
09472,2022,101
09472,2023,97
09472,2024,96
08417,2018,82
08417,2019,111
08417,2020,77
08417,2021,73
08417,2022,133
08417,2023,156
08417,2024,148
01056,2018,357
01056,2019,155
01056,2020,168
01056,2021,128
01056,2022,139
01056,2023,121
01056,2024,113
07319,2018,34
07319,2019,31
07319,2020,86
07319,2021,76
07319,2022,91
07319,2023,40
07319,2024,81
01054,2018,80
01054,2019,84
01054,2020,84
01054,2021,70
01054,2022,85
01054,2023,158
01054,2024,66
08212,2018,74
08212,2019,77
08212,2020,93
08212,2021,221
08212,2022,168
08212,2023,90
08212,2024,192
08237,2018,49
08237,2019,33
08237,2020,89
08237,2021,40
08237,2022,94
08237,2023,40
08237,2024,77
09672,2018,47
09672,2019,44
09672,2020,32
09672,2021,42
09672,2022,42
09672,2023,37
09672,2024,35
03154,2018,45
03154,2019,57
03154,2020,72
03154,2021,72
03154,2022,33
03154,2023,82
03154,2024,31
09276,2018,33
09276,2019,34
09276,2020,57
09276,2021,56
09276,2022,31
09276,2023,28
09276,2024,75
08225,2018,69
08225,2019,50
08225,2020,121
08225,2021,117
08225,2022,123
08225,2023,51
08225,2024,97
05558,2018,193
05558,2019,113
05558,2020,110
05558,2021,92
05558,2022,195
05558,2023,88
05558,2024,77
08437,2018,65
08437,2019,63
08437,2020,54
08437,2021,118
08437,2022,56
08437,2023,63
08437,2024,61
09161,2018,48
09161,2019,43
09161,2020,104
09161,2021,101
09161,2022,39
09161,2023,91
09161,2024,96
09476,2018,31
09476,2019,35
09476,2020,58
09476,2021,29
09476,2022,45
09476,2023,19
09476,2024,41
08425,2018,91
08425,2019,91
08425,2020,104
08425,2021,91
08425,2022,72
08425,2023,96
08425,2024,104
05111,2018,630
05111,2019,241
05111,2020,183
05111,2021,428
05111,2022,204
05111,2023,223
05111,2024,232
07337,2018,60
07337,2019,57
07337,2020,102
07337,2021,56
07337,2022,120
07337,2023,48
07337,2024,53
05754,2018,237
05754,2019,150
05754,2020,117
05754,2021,155
05754,2022,94
05754,2023,113
05754,2024,175
08421,2018,43
08421,2019,91
08421,2020,77
08421,2021,64
08421,2022,38
08421,2023,44
08421,2024,65
09263,2018,16
09263,2019,19
09263,2020,32
09263,2021,39
09263,2022,6
09263,2023,14
09263,2024,30
09174,2018,69
09174,2019,53
09174,2020,148
09174,2021,106
09174,2022,116
09174,2023,110
09174,2024,123
07332,2018,56
07332,2019,65
07332,2020,65
07332,2021,140
07332,2022,58
07332,2023,63
07332,2024,62
03251,2018,89
03251,2019,192
03251,2020,184
03251,2021,106
03251,2022,80
03251,2023,158
03251,2024,178
03153,2018,112
03153,2019,50
03153,2020,50
03153,2021,102
03153,2022,53
03153,2023,105
03153,2024,65
06633,2018,258
06633,2019,227
06633,2020,239
06633,2021,227
06633,2022,226
06633,2023,121
06633,2024,187
09187,2018,105
09187,2019,115
09187,2020,206
09187,2021,218
09187,2022,208
09187,2023,215
09187,2024,201
08317,2018,193
08317,2019,164
08317,2020,153
08317,2021,313
08317,2022,140
08317,2023,150
08317,2024,147
05911,2018,176
05911,2019,152
05911,2020,160
05911,2021,306
05911,2022,293
05911,2023,149
05911,2024,298
09565,2018,22
09565,2019,19
09565,2020,18
09565,2021,18
09565,2022,10
09565,2023,15
09565,2024,16
08136,2018,129
08136,2019,150
08136,2020,121
08136,2021,246
08136,2022,136
08136,2023,121
08136,2024,243
09761,2018,237
09761,2019,113
09761,2020,232
09761,2021,110
09761,2022,101
09761,2023,212
09761,2024,106
08211,2018,22
08211,2019,35
08211,2020,34
08211,2021,24
08211,2022,40
08211,2023,13
08211,2024,33
09178,2018,93
09178,2019,88
09178,2020,136
09178,2021,160
09178,2022,76
09178,2023,62
09178,2024,77
09779,2018,58
09779,2019,55
09779,2020,88
09779,2021,105
09779,2022,45
09779,2023,49
09779,2024,82
08127,2018,84
08127,2019,79
08127,2020,71
08127,2021,68
08127,2022,70
08127,2023,73
08127,2024,96
05915,2018,135
05915,2019,101
05915,2020,122
05915,2021,69
05915,2022,157
05915,2023,102
05915,2024,90
08326,2018,101
08326,2019,97
08326,2020,166
08326,2021,179
08326,2022,73
08326,2023,79
08326,2024,204
03456,2018,58
03456,2019,96
03456,2020,72
03456,2021,52
03456,2022,103
03456,2023,36
03456,2024,92
09374,2018,41
09374,2019,44
09374,2020,42
09374,2021,30
09374,2022,48
09374,2023,43
09374,2024,51
03404,2018,71
03404,2019,78
03404,2020,112
03404,2021,122
03404,2022,49
03404,2023,82
03404,2024,63
07132,2018,76
07132,2019,60
07132,2020,157
07132,2021,62
07132,2022,115
07132,2023,60
07132,2024,62
05978,2018,425
05978,2019,192
05978,2020,184
05978,2021,312
05978,2022,338
05978,2023,187
05978,2024,191
08336,2018,213
08336,2019,98
08336,2020,85
08336,2021,209
08336,2022,100
08336,2023,175
08336,2024,85
05114,2018,269
05114,2019,164
05114,2020,147
05114,2021,114
05114,2022,223
05114,2023,144
05114,2024,159
08216,2018,188
08216,2019,113
08216,2020,105
08216,2021,205
08216,2022,87
08216,2023,153
08216,2024,96
06531,2018,112
06531,2019,138
06531,2020,196
06531,2021,148
06531,2022,207
06531,2023,85
06531,2024,103
09463,2018,18
09463,2019,23
09463,2020,36
09463,2021,19
09463,2022,13
09463,2023,15
09463,2024,15
05124,2018,337
05124,2019,152
05124,2020,141
05124,2021,309
05124,2022,116
05124,2023,160
05124,2024,164
03255,2018,47
03255,2019,19
03255,2020,34
03255,2021,61
03255,2022,25
03255,2023,44
03255,2024,30
08117,2018,124
08117,2019,118
08117,2020,222
08117,2021,131
08117,2022,165
08117,2023,104
08117,2024,210
03451,2018,62
03451,2019,79
03451,2020,63
03451,2021,97
03451,2022,75
03451,2023,111
03451,2024,63
06535,2018,46
06535,2019,32
06535,2020,80
06535,2021,95
06535,2022,79
06535,2023,56
06535,2024,50
05315,2018,1030
05315,2019,448
05315,2020,418
05315,2021,969
05315,2022,436
05315,2023,406
05315,2024,823
09676,2018,57
09676,2019,55
09676,2020,127
09676,2021,54
09676,2022,94
09676,2023,53
09676,2024,101
05711,2018,149
05711,2019,186
05711,2020,207
05711,2021,111
05711,2022,133
05711,2023,170
05711,2024,138
05158,2018,229
05158,2019,224
05158,2020,225
05158,2021,411
05158,2022,176
05158,2023,178
05158,2024,173
08221,2018,31
08221,2019,44
08221,2020,35
08221,2021,44
08221,2022,44
08221,2023,46
08221,2024,41
05515,2018,117
05515,2019,127
05515,2020,221
05515,2021,93
05515,2022,78
05515,2023,74
05515,2024,95
01060,2018,335
01060,2019,278
01060,2020,137
01060,2021,110
01060,2022,255
01060,2023,132
01060,2024,123
09177,2018,66
09177,2019,75
09177,2020,60
09177,2021,59
09177,2022,54
09177,2023,104
09177,2024,60
06611,2018,187
06611,2019,99
06611,2020,63
06611,2021,183
06611,2022,74
06611,2023,103
06611,2024,58
06411,2018,75
06411,2019,48
06411,2020,95
06411,2021,66
06411,2022,84
06411,2023,57
06411,2024,54
07133,2018,68
07133,2019,66
07133,2020,56
07133,2021,50
07133,2022,125
07133,2023,43
07133,2024,122
03359,2018,107
03359,2019,126
03359,2020,100
03359,2021,171
03359,2022,189
03359,2023,205
03359,2024,81
05119,2018,187
05119,2019,125
05119,2020,145
05119,2021,129
05119,2022,133
05119,2023,113
05119,2024,44
01059,2018,99
01059,2019,103
01059,2020,239
01059,2021,215
01059,2022,221
01059,2023,105
01059,2024,94
09373,2018,48
09373,2019,58
09373,2020,44
09373,2021,60
09373,2022,50
09373,2023,50
09373,2024,62
08415,2018,114
08415,2019,127
08415,2020,246
08415,2021,118
08415,2022,228
08415,2023,120
08415,2024,110
06437,2018,55
06437,2019,62
06437,2020,91
06437,2021,51
06437,2022,79
06437,2023,37
06437,2024,39
07315,2018,160
07315,2019,64
07315,2020,146
07315,2021,163
07315,2022,147
07315,2023,149
07315,2024,74
01003,2018,251
01003,2019,279
01003,2020,90
01003,2021,114
01003,2022,186
01003,2023,186
01003,2024,100
03357,2018,89
03357,2019,82
03357,2020,65
03357,2021,122
03357,2022,97
03357,2023,130
03357,2024,94
01002,2018,293
01002,2019,130
01002,2020,122
01002,2021,106
01002,2022,226
01002,2023,234
01002,2024,98
09663,2018,30
09663,2019,24
09663,2020,86
09663,2021,34
09663,2022,63
09663,2023,36
09663,2024,85
09574,2018,74
09574,2019,91
09574,2020,143
09574,2021,104
09574,2022,77
09574,2023,68
09574,2024,154
03460,2018,74
03460,2019,58
03460,2020,70
03460,2021,76
03460,2022,46
03460,2023,88
03460,2024,85
03257,2018,158
03257,2019,80
03257,2020,86
03257,2021,127
03257,2022,117
03257,2023,82
03257,2024,65
06433,2018,236
06433,2019,147
06433,2020,107
06433,2021,285
06433,2022,121
06433,2023,113
06433,2024,133
05916,2018,151
05916,2019,76
05916,2020,75
05916,2021,128
05916,2022,51
05916,2023,60
05916,2024,74
05154,2018,163
05154,2019,164
05154,2020,175
05154,2021,185
05154,2022,132
05154,2023,146
05154,2024,106
07311,2018,14
07311,2019,19
07311,2020,20
07311,2021,23
07311,2022,49
07311,2023,13
07311,2024,17
08315,2018,162
08315,2019,126
08315,2020,271
08315,2021,141
08315,2022,136
08315,2023,112
08315,2024,262
09774,2018,119
09774,2019,62
09774,2020,101
09774,2021,47
09774,2022,40
09774,2023,99
09774,2024,44
08119,2018,174
08119,2019,183
08119,2020,374
08119,2021,179
08119,2022,339
08119,2023,313
08119,2024,312
09271,2018,62
09271,2019,44
09271,2020,56
09271,2021,49
09271,2022,62
09271,2023,101
09271,2024,43
07235,2018,87
07235,2019,86
07235,2020,82
07235,2021,195
07235,2022,156
07235,2023,69
07235,2024,130
03453,2018,89
03453,2019,88
03453,2020,64
03453,2021,110
03453,2022,113
03453,2023,125
03453,2024,65
09561,2018,13
09561,2019,12
09561,2020,27
09561,2021,11
09561,2022,17
09561,2023,6
09561,2024,29
07141,2018,60
07141,2019,66
07141,2020,64
07141,2021,92
07141,2022,54
07141,2023,46
07141,2024,48
02000,2018,1485
02000,2019,679
02000,2020,649
02000,2021,1683
02000,2022,754
02000,2023,667
02000,2024,570
01055,2018,192
01055,2019,63
01055,2020,82
01055,2021,69
01055,2022,76
01055,2023,52
01055,2024,72
09182,2018,57
09182,2019,41
09182,2020,40
09182,2021,33
09182,2022,37
09182,2023,36
09182,2024,42
01051,2018,187
01051,2019,158
01051,2020,71
01051,2021,78
01051,2022,146
01051,2023,106
01051,2024,66
03101,2018,232
03101,2019,151
03101,2020,121
03101,2021,123
03101,2022,232
03101,2023,113
03101,2024,108
07338,2018,68
07338,2019,119
07338,2020,74
07338,2021,186
07338,2022,163
07338,2023,65
07338,2024,160
09471,2018,66
09471,2019,81
09471,2020,73
09471,2021,93
09471,2022,130
09471,2023,64
09471,2024,106
09778,2018,53
09778,2019,90
09778,2020,57
09778,2021,55
09778,2022,58
09778,2023,47
09778,2024,89
03403,2018,142
03403,2019,80
03403,2020,82
03403,2021,158
03403,2022,100
03403,2023,139
03403,2024,74
03354,2018,50
03354,2019,20
03354,2020,21
03354,2021,23
03354,2022,47
03354,2023,30
03354,2024,28
09275,2018,93
09275,2019,150
09275,2020,73
09275,2021,91
09275,2022,90
09275,2023,79
09275,2024,134
09173,2018,45
09173,2019,55
09173,2020,51
09173,2021,61
09173,2022,95
09173,2023,46
09173,2024,110
03252,2018,79
03252,2019,133
03252,2020,62
03252,2021,79
03252,2022,114
03252,2023,107
03252,2024,105
08327,2018,83
08327,2019,125
08327,2020,107
08327,2021,112
08327,2022,47
08327,2023,62
08327,2024,83
03158,2018,59
03158,2019,110
03158,2020,52
03158,2021,54
03158,2022,96
03158,2023,86
03158,2024,103
09262,2018,11
09262,2019,37
09262,2020,27
09262,2021,31
09262,2022,16
09262,2023,13
09262,2024,29
06634,2018,197
06634,2019,206
06634,2020,97
06634,2021,204
06634,2022,150
06634,2023,91
06634,2024,93
08416,2018,77
08416,2019,93
08416,2020,139
08416,2021,177
08416,2022,167
08416,2023,97
08416,2024,157
03358,2018,143
03358,2019,92
03358,2020,134
03358,2021,133
03358,2022,84
03358,2023,113
03358,2024,77
07231,2018,115
07231,2019,39
07231,2020,95
07231,2021,88
07231,2022,100
07231,2023,73
07231,2024,103
08135,2018,68
08135,2019,101
08135,2020,115
08135,2021,107
08135,2022,48
08135,2023,56
08135,2024,101
07320,2018,11
07320,2019,21
07320,2020,14
07320,2021,46
07320,2022,17
07320,2023,18
07320,2024,19
09186,2018,58
09186,2019,57
09186,2020,61
09186,2021,28
09186,2022,88
09186,2023,40
09186,2024,85
07111,2018,96
07111,2019,35
07111,2020,71
07111,2021,76
07111,2022,100
07111,2023,71
07111,2024,76
07316,2018,53
07316,2019,36
07316,2020,40
07316,2021,35
07316,2022,51
07316,2023,45
07316,2024,37
09190,2018,55
09190,2019,118
09190,2020,47
09190,2021,118
09190,2022,55
09190,2023,60
09190,2024,99
07333,2018,27
07333,2019,23
07333,2020,16
07333,2021,84
07333,2022,36
07333,2023,37
07333,2024,28
06532,2018,113
06532,2019,122
06532,2020,146
06532,2021,157
06532,2022,220
06532,2023,123
06532,2024,138
03256,2018,100
03256,2019,60
03256,2020,69
03256,2021,105
03256,2022,123
03256,2023,98
03256,2024,51
09377,2018,23
09377,2019,25
09377,2020,30
09377,2021,34
09377,2022,51
09377,2023,37
09377,2024,47
07137,2018,271
07137,2019,89
07137,2020,320
07137,2021,279
07137,2022,265
07137,2023,78
07137,2024,90
08118,2018,222
08118,2019,290
08118,2020,483
08118,2021,429
08118,2022,395
08118,2023,194
08118,2024,420
03461,2018,66
03461,2019,52
03461,2020,44
03461,2021,50
03461,2022,90
03461,2023,46
03461,2024,54
03452,2018,165
03452,2019,114
03452,2020,144
03452,2021,188
03452,2022,62
03452,2023,149
03452,2024,109
09573,2018,63
09573,2019,135
09573,2020,62
09573,2021,129
09573,2022,53
09573,2023,56
09573,2024,85
09279,2018,34
09279,2019,50
09279,2020,37
09279,2021,35
09279,2022,35
09279,2023,33
09279,2024,47
06438,2018,156
06438,2019,201
06438,2020,255
06438,2021,187
06438,2022,358
06438,2023,208
06438,2024,163
06412,2018,408
06412,2019,384
06412,2020,377
06412,2021,349
06412,2022,733
06412,2023,381
06412,2024,296
09475,2018,62
09475,2019,66
09475,2020,52
09475,2021,97
09475,2022,45
09475,2023,102
09475,2024,70
09671,2018,83
09671,2019,89
09671,2020,80
09671,2021,79
09671,2022,76
09671,2023,75
09671,2024,78
09462,2018,34
09462,2019,32
09462,2020,25
09462,2021,61
09462,2022,17
09462,2023,54
09462,2024,24
07312,2018,54
07312,2019,46
07312,2020,27
07312,2021,90
07312,2022,26
07312,2023,25
07312,2024,65
05358,2018,292
05358,2019,145
05358,2020,132
05358,2021,142
05358,2022,261
05358,2023,120
05358,2024,142
09577,2018,37
09577,2019,38
09577,2020,45
09577,2021,69
09577,2022,35
09577,2023,31
09577,2024,33
05554,2018,165
05554,2019,125
05554,2020,184
05554,2021,147
05554,2022,317
05554,2023,155
05554,2024,114
09773,2018,37
09773,2019,49
09773,2020,42
09773,2021,64
09773,2022,39
09773,2023,30
09773,2024,34
05314,2018,177
05314,2019,177
05314,2020,200
05314,2021,165
05314,2022,348
05314,2023,170
05314,2024,115
09564,2018,198
09564,2019,231
09564,2020,180
09564,2021,357
09564,2022,187
09564,2023,179
09564,2024,188
08126,2018,45
08126,2019,46
08126,2020,52
08126,2021,74
08126,2022,61
08126,2023,42
08126,2024,35
09181,2018,49
09181,2019,51
09181,2020,48
09181,2021,114
09181,2022,61
09181,2023,58
09181,2024,44
08335,2018,234
08335,2019,138
08335,2020,110
08335,2021,204
08335,2022,135
08335,2023,104
08335,2024,88
09679,2018,78
09679,2019,68
09679,2020,74
09679,2021,150
09679,2022,60
09679,2023,61
09679,2024,70
08215,2018,428
08215,2019,173
08215,2020,239
08215,2021,402
08215,2022,203
08215,2023,184
08215,2024,204
