ags,year,total,german,foreign,male,female
09186,2023/24,0,0,0,0,0
09273,2023/24,0,0,0,0,0
06440,2023/24,4200,3401,799,3254,946
09761,2023/24,27033,24501,2532,12600,14433
08222,2023/24,28008,24406,3602,14746,13262
03404,2023/24,24208,22280,1928,11105,13103
05120,2023/24,0,0,0,0,0
06435,2023/24,0,0,0,0,0
01001,2023/24,9129,8250,879,3990,5139
09271,2023/24,6710,4580,2130,4255,2455
09184,2023/24,34667,22727,11940,23875,10792
09173,2023/24,544,527,17,149,395
08111,2023/24,58271,49714,8557,31924,26347
05316,2023/24,788,584,204,391,397
05124,2023/24,22033,19483,2550,10033,12000
07233,2023/24,0,0,0,0,0
05954,2023/24,3126,2950,176,1266,1860
03461,2023/24,564,526,38,426,138
06438,2023/24,1710,1693,17,918,792
09676,2023/24,0,0,0,0,0
06632,2023/24,2031,2023,8,787,1244
05762,2023/24,697,634,63,436,261
03355,2023/24,9070,7965,1105,3369,5701
09376,2023/24,0,0,0,0,0
05911,2023/24,53954,45079,8875,27353,26601
05119,2023/24,0,0,0,0,0
05114,2023/24,4850,4208,642,3036,1814
05515,2023/24,61188,56964,4224,26690,34498
09177,2023/24,150,150,0,45,105
07335,2023/24,0,0,0,0,0
09678,2023/24,0,0,0,0,0
03359,2023/24,1030,995,35,555,475
05354,2023/24,0,0,0,0,0
09371,2023/24,657,657,0,453,204
09779,2023/24,0,0,0,0,0
08216,2023/24,0,0,0,0,0
06436,2023/24,0,0,0,0,0
01003,2023/24,13713,12168,1551,7443,6270
07135,2023/24,0,0,0,0,0
07133,2023/24,0,0,0,0,0
08336,2023/24,1901,1540,361,1118,783
03453,2023/24,0,0,0,0,0
08226,2023/24,640,637,3,113,527
05382,2023/24,10688,8679,2009,5896,4792
03353,2023/24,0,0,0,0,0
09774,2023/24,0,0,0,0,0
09674,2023/24,0,0,0,0,0
09561,2023/24,3403,3099,304,1683,1720
04012,2023/24,2770,2120,650,1698,1072
03455,2023/24,0,0,0,0,0
07111,2023/24,15722,13599,2123,7139,8583
06431,2023/24,0,0,0,0,0
05970,2023/24,15663,13449,2214,7326,8337
07320,2023/24,2341,1931,410,1378,963
03357,2023/24,0,0,0,0,0
05513,2023/24,5415,4572,843,3331,2084
03155,2023/24,0,0,0,0,0
09262,2023/24,10881,9200,1681,4560,6321
03241001,2023/24,48760,41355,7405,24919,23841
09571,2023/24,2578,1994,584,1418,1160
08327,2023/24,864,648,216,525,339
07143,2023/24,453,440,13,279,174
08416,2023/24,29179,24941,4238,12093,17086
09261,2023/24,4674,4121,553,2673,2001
05122,2023/24,0,0,0,0,0
05378,2023/24,616,600,16,475,141
09263,2023/24,1178,424,754,613,565
03458,2023/24,0,0,0,0,0
