ags,year,beds
03355,2024,874
09376,2024,544
08211,2024,762
08237,2024,445
03354,2024,106
09184,2024,989
09675,2024,240
08236,2024,334
09377,2024,240
03457,2024,768
03356,2024,263
07143,2024,530
03401,2024,286
07339,2024,113
03402,2024,370
08415,2024,963
09679,2024,121
09473,2024,84
03151,2024,423
03255,2024,24
09476,2024,240
09178,2024,325
09775,2024,330
08337,2024,691
03462,2024,163
01053,2024,582
09375,2024,245
09272,2024,365
07340,2024,77
09471,2024,312
09671,2024,42
09780,2024,203
