ags,year,persons
03462,2022,3760
03462,2024,3474
05366,2018,11433
05366,2020,10666
05366,2022,10662
05366,2024,11173
09375,2018,3766
09375,2020,3771
09375,2022,4967
09375,2024,5412
09277,2018,3223
09277,2020,3413
09277,2022,3828
09277,2024,3925
05914,2018,26476
05914,2020,27484
05914,2022,27086
05914,2024,27232
09473,2018,2772
09473,2020,2590
09473,2022,2658
09473,2024,2869
06439,2018,9393
06439,2020,9256
06439,2022,9921
06439,2024,10364
09575,2018,2359
09575,2020,2355
09575,2022,2745
09575,2024,2814
09673,2018,1713
09673,2020,1678
09673,2022,2149
09673,2024,2374
09771,2018,2351
09771,2020,2320
09771,2022,2990
09771,2024,3213
01061,2018,10199
01061,2020,9175
01061,2022,8595
01061,2024,8640
05334,2018,52618
05334,2020,50675
05334,2022,49555
05334,2024,49014
09562,2018,4783
09562,2020,4536
09562,2022,5254
09562,2024,5197
09464,2018,5198
09464,2020,4684
09464,2022,4406
09464,2024,4603
05774,2018,20493
05774,2020,19878
05774,2022,20315
05774,2024,20248
05970,2018,17588
05970,2020,17466
05970,2022,18795
05970,2024,19201
09477,2018,2408
09477,2020,1986
09477,2022,2159
09477,2024,2346
05116,2018,38247
05116,2020,36266
05116,2022,35332
05116,2024,34763
06412,2018,71171
06412,2020,71887
06412,2022,67560
06412,2024,63593
09677,2018,2692
09677,2020,2455
09677,2022,2828
09677,2024,2896
06434,2018,11077
06434,2020,11197
06434,2022,12183
06434,2024,11610
05378,2018,17676
05378,2020,17514
05378,2022,18371
05378,2024,18545
09775,2018,4217
09775,2020,4228
09775,2022,4695
09775,2024,5444
09183,2018,3881
09183,2020,3696
09183,2022,3731
09183,2024,3665
06532,2018,17421
06532,2020,16660
06532,2022,17845
06532,2024,19022
09762,2018,2135
09762,2020,1921
09762,2022,1954
09762,2024,1911
01056,2018,21194
01056,2020,21535
01056,2022,22106
01056,2024,22954
05770,2018,22482
05770,2020,22130
05770,2022,24008
05770,2024,24382
05913,2018,86693
05913,2020,86336
05913,2022,89139
05913,2024,92188
05112,2018,75024
05112,2020,74567
05112,2022,76155
05112,2024,75100
